replicate,arm,family,parent,newborn_cells,newborn_count,edges,base_skill_nll,donor_skill_nll,skill_improvement,ablated_skill_nll,tissue_causal_fraction,recipient_skill_nll,transplant_recovery,base_language_nll,donor_language_nll,language_retention_ratio,ablated_language_nll,recipient_language_nll,base_memory_drift,elapsed_seconds,autonomous_structure_updates
0,one-cell,REVERSE_INC,3,[7],1,16,8.539951188223702,7.521112782614572,1.01883840560913,8.539951188223702,1.0,7.521112782614572,1.0,4.638154059648514,6.539673775434494,1.4099733840945508,4.638154059648514,6.539673775434494,0.0,7.040369594999902,0
0,one-cell,MOD_ADD,3,[7],1,16,8.600536482674736,7.529593331473214,1.0709431512015213,8.600536482674736,1.0,7.529593331473214,1.0,4.638154059648514,6.551269352436066,1.4124734254585176,4.638154059648514,6.551269352436066,0.0,6.708515633999923,0
0,one-cell,PARITY,1,[7],1,16,12.013906615121025,6.483259337288993,5.530647277832032,12.013906615121025,1.0,6.483259337288993,1.0,4.638154059648514,6.829747229814529,1.4725140954744609,4.638154059648514,6.829747229814529,0.0,6.867524402000072,0
0,one-cell,LOOKUP,1,[7],1,16,8.65896211351667,6.143768106188093,2.515194007328578,8.65896211351667,1.0,6.143768106188093,1.0,4.638154059648514,6.692627966403961,1.4429507688477123,4.638154059648514,6.692627966403961,0.0,6.742446850000306,0
0,one-cell,DELAY_COPY,3,[7],1,16,8.3984877041408,7.485650675637381,0.9128370285034187,8.3984877041408,1.0,7.485650675637381,1.0,4.638154059648514,6.545101165771484,1.4111435458156132,4.638154059648514,6.545101165771484,0.0,7.011967559999903,0
0,one-cell,LOCAL_RULE,3,[7],1,16,8.587302139827184,7.520605495997837,1.0666966438293466,8.587302139827184,1.0,7.520605495997837,1.0,4.638154059648514,6.5323003232479095,1.4083836455710437,4.638154059648514,6.5323003232479095,0.0,6.92833162199986,0
0,three-cell-chain,REVERSE_INC,3,"[7, 8, 9]",3,20,8.539951188223702,7.521149567195347,1.0188016210283548,8.539951188223702,1.0,7.521149567195347,1.0,4.638154059648514,6.485618263483048,1.3983188527322306,4.638154059648514,6.485618263483048,0.0,6.929972539999653,0
0,three-cell-chain,MOD_ADD,3,"[7, 8, 9]",3,20,8.600536482674736,7.529125894818987,1.0714105878557485,8.600536482674736,1.0,7.529125894818987,1.0,4.638154059648514,6.498637109994888,1.4011257552939853,4.638154059648514,6.498637109994888,0.0,7.072908721000204,0
0,three-cell-chain,PARITY,1,"[7, 8, 9]",3,20,12.013906615121025,6.485415049961635,5.528491565159389,12.013906615121025,1.0,6.485415049961635,1.0,4.638154059648514,6.748505711555481,1.4549981791822786,4.638154059648514,6.748505711555481,0.0,7.310795563000283,0
0,three-cell-chain,LOOKUP,1,"[7, 8, 9]",3,20,8.65896211351667,6.139689717973981,2.519272395542689,8.65896211351667,1.0,6.139689717973981,1.0,4.638154059648514,6.641011714935303,1.4318221494002226,4.638154059648514,6.641011714935303,0.0,7.058729850999953,0
