arm,input_family,mean_matching_value,mean_wrong_value,mean_best_wrong_value,mean_specificity,mean_normalized_specificity,mean_strict_margin,replicate_top1_count,example_top1_accuracy,specificity_pass,integrity_replicate_count,integrity_pass,joint_pass,mean_language_retention_ratio,mean_causal_fraction,mean_transplant_recovery,mean_skill_improvement
one-cell,REVERSE_INC,0.8335273979852597,0.6520416053632895,0.8334035358081261,0.18148579262197018,0.22485130706165232,0.00012386217713356018,2,0.22786458333333334,0,0,0,0,1.3912503963679084,1.0,1.0,0.8344641413007459
one-cell,MOD_ADD,0.8628097760180632,0.6841039256503185,0.8628958581636349,0.17870585036774478,0.21617950030290198,-8.608214557170868e-05,1,0.09375,0,0,0,0,1.3926386078622193,1.0,1.0,0.8403040340968543
one-cell,PARITY,3.8033362248291573,4.594668399542569,5.38188571172456,-0.7913321747134127,-12.423036477322043,-1.5785494868954022,2,0.6575520833333334,0,1,0,0,1.3223739045475675,1.0,1.0,3.804858343941824
one-cell,LOOKUP,2.1551050692796707,1.8342651506265006,1.998815846319,0.32083991865317024,0.14677211677827723,0.1562892229606708,3,0.17708333333333334,0,0,0,0,1.4235267492512191,1.0,1.0,2.367874894823347
one-cell,DELAY_COPY,0.83097601061066,0.6660829775035381,0.8306254589309295,0.1648930331071218,0.21198457654982952,0.00035055167973041534,2,0.09375,0,0,0,0,1.3929983904839842,1.0,1.0,0.7798730078197668
one-cell,LOCAL_RULE,0.7942937233795723,0.625444146245718,0.7955299442013105,0.16884957713385426,0.22252353641034553,-0.001236220821738243,0,0.3111979166666667,0,0,0,0,1.3935673776717579,1.0,1.0,0.8830662000746955
three-cell-chain,REVERSE_INC,0.8319777448972067,0.6538989742596945,0.8341620564460754,0.1780787706375122,0.22344866459839016,-0.002184311548868815,0,0.08072916666666667,0,0,0,0,1.3784610216520685,1.0,1.0,0.8335164388020827
three-cell-chain,MOD_ADD,0.8631645801166693,0.6831671727200349,0.8647662028670311,0.1799974073966344,0.2224746190318899,-0.0016016227503617604,1,0.20703125,0,0,0,0,1.382189712859504,1.0,1.0,0.8407455171857562
three-cell-chain,PARITY,5.553512482593457,4.583857289204995,5.366499351958434,0.9696551933884621,0.17497890045246675,0.18701313063502312,3,0.9921875,1,0,0,0,1.448630167978208,1.0,1.0,5.5551572754269545
three-cell-chain,LOOKUP,2.156946919237574,1.9784421501060325,2.0621486250311136,0.17850476913154126,0.08261027409628162,0.09479829420646031,3,0.028645833333333332,0,0,0,0,1.4149165031696471,1.0,1.0,2.368547666640508
three-cell-chain,DELAY_COPY,0.83272849333783,0.6666717493285735,0.838248590628306,0.16605674400925638,0.21890982693509922,-0.005520097290476163,1,0.22786458333333334,0,0,0,0,1.3814792916984835,1.0,1.0,0.7818049022129611
three-cell-chain,LOCAL_RULE,0.7974016256630421,0.6241390167425076,0.796409094085296,0.17326260892053447,0.23478370215467517,0.0009925315777460735,1,0.3294270833333333,0,0,0,0,1.3766454513499962,1.0,1.0,0.8836834998357862
