arm,replicate,input_family,matching_value,mean_wrong_value,best_wrong_value,specificity,normalized_specificity,strict_margin,matching_rank
one-cell,0,DELAY_COPY,1.0197448525577784,0.8190507818013429,1.0185898877680302,0.20069407075643542,0.1968081233781606,0.0011549647897481918,1
one-cell,0,LOCAL_RULE,1.0182589776813984,0.8314073104411364,1.0205609574913979,0.18685166724026203,0.18350112430702847,-0.002301979809999466,4
one-cell,0,LOOKUP,2.1348903868347406,1.9515897557139397,2.0189836900681257,0.18330063112080097,0.08585950466176794,0.11590669676661491,1
one-cell,0,MOD_ADD,1.0508510768413544,0.8477978114038706,1.0509502179920673,0.2030532654374838,0.19322744193955704,-9.914115071296692e-05,2
one-cell,0,PARITY,5.515983523800969,4.5398143291473385,5.347682673484087,0.9761691946536306,0.1769710134995054,0.16830085031688213,1
one-cell,0,REVERSE_INC,1.0429344698786736,0.8537535015493631,1.0435589049011469,0.18918096832931042,0.1813929578445309,-0.0006244350224733353,3
one-cell,1,DELAY_COPY,0.9721858166158199,0.8195574905723333,0.973007332533598,0.15262832604348664,0.15699501415767003,-0.0008215159177780151,3
one-cell,1,LOCAL_RULE,0.8631502240896225,0.6795084800571203,0.8638350442051888,0.18364174403250222,0.21275756978015262,-0.0006848201155662537,4
one-cell,1,LOOKUP,2.1107287108898163,1.9641469150781632,1.9899441748857498,0.1465817958116531,0.06944606147412419,0.12078453600406647,1
one-cell,1,MOD_ADD,0.9790423009544611,0.795677337422967,0.979002308100462,0.18336496353149412,0.18729013378965645,3.999285399913788e-05,1
one-cell,1,PARITY,5.781699884682894,4.908765529468655,5.618706565350294,0.8729343552142383,0.15098230150735606,0.16299331933259964,1
one-cell,1,REVERSE_INC,0.8425230458378792,0.650153236463666,0.841681094840169,0.19236980937421322,0.2283258723005063,0.000841950997710228,1
one-cell,2,DELAY_COPY,0.5009973626583815,0.3596406601369381,0.5002791564911604,0.1413567025214434,0.282150592113658,0.0007182061672210693,1
one-cell,2,LOCAL_RULE,0.5014719683676958,0.3654166482388973,0.5021938309073448,0.1360553201287985,0.27131191514385555,-0.0007218625396490097,2
one-cell,2,LOOKUP,2.2196961101144552,1.5870587810873986,1.9875196740031242,0.6326373290270566,0.28501078419893955,0.23217643611133099,1
one-cell,2,MOD_ADD,0.5585359502583742,0.40883662812411786,0.5587350483983755,0.14969932213425635,0.26802092517949233,-0.000199098140001297,4
one-cell,2,PARITY,0.11232526600360866,4.3354253400117155,5.179267896339297,-4.223100074008107,-37.59706274697299,-5.066942630335689,6
one-cell,2,REVERSE_INC,0.6151246782392263,0.45221807807683945,0.6149706076830626,0.1629066001623869,0.2648350910399198,0.00015407055616378784,1
three-cell-chain,0,DELAY_COPY,1.022015031427145,0.8338380444794893,1.0211418308317661,0.18817698694765572,0.18412350225894897,0.0008732005953788757,1
three-cell-chain,0,LOCAL_RULE,1.0204116497188807,0.8447028305381536,1.021361818537116,0.175708819180727,0.17219405445746733,-0.0009501688182353973,3
three-cell-chain,0,LOOKUP,2.1411980744451284,1.9646023165434598,2.0458068158477545,0.1765957579016686,0.08247520862703547,0.09539125859737396,1
three-cell-chain,0,MOD_ADD,1.0514096561819315,0.8611957460641861,1.0511317998170853,0.19021391011774536,0.18091322349890188,0.00027785636484622955,1
three-cell-chain,0,PARITY,5.513027647510171,4.546112801507116,5.336672827601433,0.9669148460030552,0.17538726591362905,0.17635481990873814,1
three-cell-chain,0,REVERSE_INC,1.042873041704297,0.8658477105200291,1.0434266105294228,0.177025331184268,0.16974772969005647,-0.0005535688251256943,2
three-cell-chain,1,DELAY_COPY,0.9737082216888666,0.8238507367670536,0.9767848290503025,0.14985748492181306,0.15390389192964798,-0.00307660736143589,3
three-cell-chain,1,LOCAL_RULE,0.8621954992413521,0.683952733874321,0.8652986399829388,0.1782427653670311,0.20673126399275726,-0.003103140741586685,4
three-cell-chain,1,LOOKUP,2.113463293761015,1.9583393674343825,2.0018560010939837,0.1551239263266324,0.07339797515507428,0.11160729266703129,1
three-cell-chain,1,MOD_ADD,0.9789890274405479,0.7976610049605369,0.9791240729391575,0.181328022480011,0.1852196678384352,-0.00013504549860954285,2
three-cell-chain,1,PARITY,5.787426669150591,4.860602328553796,5.617285696789622,0.9268243405967951,0.16014446377993127,0.1701409723609686,1
three-cell-chain,1,REVERSE_INC,0.8399189244955778,0.6537203073501587,0.8421151097863913,0.18619861714541908,0.22168641724228635,-0.002196185290813446,4
three-cell-chain,2,DELAY_COPY,0.5024622268974781,0.3423264667391777,0.5168191120028496,0.1601357601583004,0.3187020866167007,-0.014356885105371475,2
three-cell-chain,2,LOCAL_RULE,0.5095977280288935,0.34376148581504823,0.5025668237358332,0.16583624221384524,0.3254257880138009,0.007030904293060303,1
three-cell-chain,2,LOOKUP,2.2161793895065784,2.0123847663402556,2.1387830581516027,0.2037946231663228,0.09195763850673509,0.0773963313549757,1
three-cell-chain,2,MOD_ADD,0.5590950567275286,0.3906447671353817,0.5640427358448505,0.16845028959214686,0.30129096575833264,-0.004947679117321968,3
three-cell-chain,2,PARITY,5.360083131119609,4.344856737554073,5.145539531484246,1.015226393565536,0.18940497166383993,0.21454359963536263,1
three-cell-chain,2,REVERSE_INC,0.613141268491745,0.4421289049088955,0.6169444490224123,0.1710123635828495,0.27891184686282766,-0.003803180530667305,2
