replicate,input_family,matching_value,mean_wrong_value,best_wrong_value,specificity,normalized_specificity,strict_margin,matching_rank
0,DELAY_COPY,1.237115828320384,1.0402946904301644,1.238795455545187,0.1968211378902196,0.15909677443658699,-0.0016796272248029709,2
0,LOCAL_RULE,1.2409587111324072,1.0492661066353322,1.243408257141709,0.19169260449707504,0.15447137989156023,-0.0024495460093019172,2
0,LOOKUP,2.247932044789195,1.988005729392171,2.093859657645225,0.25992631539702415,0.11562908051404167,0.15407238714396998,1
0,MOD_ADD,1.2750624418258667,1.0806483175605535,1.2805525660514832,0.19441412426531324,0.15247419882191468,-0.005490124225616455,4
0,PARITY,5.760192750021815,4.547524780780077,5.42679020576179,1.2126679692417381,0.21052558861630896,0.333402544260025,1
0,REVERSE_INC,1.2647876404225826,1.0646887086331844,1.2623399179428816,0.2000989317893982,0.15820753254873873,0.002447722479701042,1
1,DELAY_COPY,1.240137567743659,0.9792734984308481,1.2154120802879331,0.2608640693128109,0.2103509127519089,0.024725487455725892,1
1,LOCAL_RULE,1.0110146068036556,0.8680461592972278,1.1229974515736103,0.1429684475064278,0.1414108624586796,-0.11198284476995468,4
1,LOOKUP,2.208201417699456,1.9206991314888,1.983222085982561,0.2875022862106562,0.1301974919073194,0.22497933171689533,1
1,MOD_ADD,1.2594917006790638,0.9729366455227136,1.260808989405632,0.28655505515635016,0.22751642984376316,-0.001317288726568222,2
1,PARITY,5.964586511254311,4.893064185231924,5.741183917969465,1.0715223260223867,0.17964737773533493,0.22340259328484535,1
1,REVERSE_INC,1.0929321683943272,0.8101980920881033,1.093953212723136,0.2827340763062238,0.2586931599987586,-0.0010210443288087845,2
2,DELAY_COPY,0.8518007360398769,0.5840095262974501,0.8303284160792828,0.2677912097424269,0.31438245872787113,0.021472319960594177,1
2,LOCAL_RULE,0.8348961733281612,0.5939555261284113,0.8482160978019238,0.24094064719974995,0.28858755722796525,-0.013319924473762512,2
2,LOOKUP,2.3291209395974874,2.1225987017154693,2.2101901937276125,0.20652223788201818,0.08866960679066704,0.11893074586987495,1
2,MOD_ADD,0.8872515745460987,0.6495074935257434,0.9026106894016266,0.23774408102035527,0.26795565974845487,-0.015359114855527878,3
2,PARITY,5.678567515686154,4.4853486001491545,5.2881176099181175,1.1932189155369999,0.2101267462684769,0.39044990576803684,1
2,REVERSE_INC,0.935672640800476,0.6936589106917381,0.9527886155992746,0.24201373010873783,0.25865213917304775,-0.017115974798798672,4
