rank,stage,expert_id,usage,routed_samples,cluster0_samples,cluster1_samples,pi0,pi1,geometry_separation,adam_metric_disagreement,split_regret,eligible
1,1,s1-e3,0.07913020833333333,15193,6399,8794,0.42118080695056936,0.5788191930494306,0.33657635748386383,7.429987029409577e-12,1.4333157083322413e-13,yes
2,1,s1-e0,0.09213020833333334,17689,12966,4723,0.7329979083045961,0.2670020916954039,0.299826443195343,7.12901507132073e-12,1.2854316385001468e-13,yes
3,2,s2-e3,0.079234375,15213,5983,9230,0.39328206139485966,0.6067179386051403,0.24917665123939514,4.668099181854909e-12,8.825609033957389e-14,yes
4,0,s0-e1,0.07677604166666667,14741,5820,8921,0.3948171765823214,0.6051828234176786,0.23976892232894897,3.0191582563111086e-12,5.5385263636318044e-14,yes
5,0,s0-e2,0.08634375,16578,9521,7057,0.5743153577029798,0.42568464229702013,0.32424525916576385,2.619599873164368e-12,5.529734491845126e-14,yes
6,2,s2-e0,0.09238541666666666,17738,9730,8008,0.5485398579321231,0.4514601420678769,0.35067176818847656,1.8905164072145387e-12,4.325252604305177e-14,yes
7,0,s0-e3,0.09011458333333333,17302,8080,9222,0.46699803490925906,0.5330019650907409,0.36515216529369354,1.8398788931297854e-12,4.126940234261768e-14,yes
8,2,s2-e1,0.087890625,16875,8393,8482,0.49736296296296295,0.502637037037037,0.20465123653411865,1.7801522465424544e-12,3.911358537776784e-14,yes
9,0,s0-e0,0.08009895833333333,15379,7299,8080,0.4746082320046817,0.5253917679953183,0.375308595597744,1.3218339362250256e-12,2.6401116672929333e-14,yes
10,2,s2-e2,0.07382291666666667,14174,5716,8458,0.40327359954846903,0.596726400451531,0.2479565143585205,1.398020181869359e-12,2.4835887546153664e-14,yes
11,1,s1-e1,0.089828125,17247,9700,7547,0.5624166521713921,0.43758334782860786,0.2967590391635895,8.120846560714819e-13,1.7952816710848052e-14,yes
12,1,s1-e2,0.07224479166666667,13871,9788,4083,0.7056448705933241,0.2943551294066758,0.3432517498731613,5.427483069090757e-13,8.14446980497016e-15,yes
