replicate,window,residual_k1,residual_k2,bifurcation_gain,split_balance,centroid_separation,routing_purity_posthoc,window_bifurcation_pass,mean_probe_loss
0,0,13.389802932739258,6.724037170410156,0.4978240378751738,0.4375,1.301112174987793,0.9375,1,6.571038037538528
0,1,13.604246139526367,5.791537761688232,0.574284550405094,0.375,1.443394899368286,0.875,1,6.576260685920715
0,2,13.297542572021484,6.150031089782715,0.5375061928568211,0.5,1.336741328239441,1.0,1,6.585754841566086
1,0,9.970640182495115,6.323162078857422,0.3658218566588496,0.5,0.9549185633659364,1.0,1,6.566146969795227
1,1,11.22934341430664,7.020956993103027,0.3747669178806979,0.5,1.0257177352905271,1.0,1,6.569157719612122
1,2,13.388614654541016,6.543837070465088,0.5112386726101183,0.5,1.3081262111663818,1.0,1,6.52276685833931
2,0,10.91461181640625,6.831987380981445,0.3740512721934853,0.5,1.0102752447128296,1.0,1,6.654295057058334
2,1,10.222993850708008,6.776542663574219,0.3371273853299931,0.5,0.9282311797142028,1.0,1,6.679170787334442
2,2,9.377545356750488,6.402882099151611,0.3172112897814507,0.4375,0.8691777586936951,0.9375,1,6.662132084369659
