replicate,arm,initial_child_distance,final_child_distance,distance_growth_ratio,routing_purity_posthoc,wall_seconds,identity_pass,identity_assignment,normalized_story_margin,normalized_arithmetic_margin,normalized_identity_margin,opposite_preference,routing_purity_pass,oracle_combined_nll,story_branch0_updates,story_branch1_updates,arithmetic_branch0_updates,arithmetic_branch1_updates,persistent_multimodality
0,unified,0.0,1.030229091644287,0.0,,7.437733230000049,,,,,,,,6.315402090549469,200,0,200,0,1
0,stratified-capacity-fork,0.0399999991059303,0.0356719568371772,0.8917989408626916,,8.135208367000018,0.0,"[0, 1]",0.000712560681459,0.0003779415000733,0.0005452510907662,1.0,,6.321227267384529,100,100,100,100,1
0,geometry-bifurcation-fork,0.0399999991059303,1.4262555837631226,35.6563903910605,0.88,13.724050347999992,1.0,"[1, 0]",0.1647973059705988,0.134321890455486,0.1495595982130424,1.0,1.0,6.034144714474678,48,152,200,0,1
1,unified,0.0,0.8633056282997131,0.0,,7.418059090999975,,,,,,,,6.346165433526039,200,0,200,0,1
1,stratified-capacity-fork,0.0399999991059303,0.0333618037402629,0.8340451121489356,,7.930094170000018,0.0,"[1, 0]",0.0001310806408871,0.0001184271805435,0.0001247539107153,1.0,,6.3385259360075,100,100,100,100,1
1,geometry-bifurcation-fork,0.0399999991059303,1.2760337591171265,31.90084469096761,0.9175,13.466315635,1.0,"[0, 1]",0.1826574154913798,0.1196730215028236,0.1511652184971017,1.0,1.0,6.06965608894825,167,33,0,200,1
2,unified,0.0,0.9117491841316224,0.0,,6.39929626899999,,,,,,,,6.39953188598156,200,0,200,0,1
2,stratified-capacity-fork,0.0399999991059303,0.0452949665486812,1.132374189027567,,7.810725832999992,0.0,"[1, 0]",0.0028892226819662,0.0016478430287712,0.0022685328553687,1.0,,6.372703447937965,100,100,100,100,1
2,geometry-bifurcation-fork,0.0399999991059303,1.212999939918518,30.324999175779503,0.8975,12.64467877800007,1.0,"[0, 1]",0.205433795971379,0.1431891172772213,0.1743114566243002,1.0,1.0,6.057904586195946,159,41,0,200,1
