replicate,arm,step,domain,branch,nll,parent_nll
1,geometry-bifurcation-fork,0,ARITHMETIC,1,7.653864741325378,7.622761458158493
1,geometry-bifurcation-fork,50,STORY,0,5.429107457399368,5.425915062427521
1,geometry-bifurcation-fork,50,STORY,1,6.04631969332695,5.425915062427521
1,geometry-bifurcation-fork,50,ARITHMETIC,0,7.6551083624362946,7.622761458158493
1,geometry-bifurcation-fork,50,ARITHMETIC,1,6.868539065122604,7.622761458158493
1,geometry-bifurcation-fork,100,STORY,0,5.431651264429092,5.425915062427521
1,geometry-bifurcation-fork,100,STORY,1,6.276666790246964,5.425915062427521
1,geometry-bifurcation-fork,100,ARITHMETIC,0,7.633043467998505,7.622761458158493
1,geometry-bifurcation-fork,100,ARITHMETIC,1,6.738971561193466,7.622761458158493
1,geometry-bifurcation-fork,200,STORY,0,5.428626835346222,5.425915062427521
1,geometry-bifurcation-fork,200,STORY,1,6.315579444169998,5.425915062427521
1,geometry-bifurcation-fork,200,ARITHMETIC,0,7.611950814723968,7.622761458158493
1,geometry-bifurcation-fork,200,ARITHMETIC,1,6.72283947467804,7.622761458158493
1,geometry-bifurcation-fork,400,STORY,0,5.425989985466003,5.425915062427521
1,geometry-bifurcation-fork,400,STORY,1,6.417073607444763,5.425915062427521
1,geometry-bifurcation-fork,400,ARITHMETIC,0,7.625561088323593,7.622761458158493
1,geometry-bifurcation-fork,400,ARITHMETIC,1,6.713322192430496,7.622761458158493
2,unified,0,STORY,0,5.483792632818222,5.483792632818222
2,unified,0,ARITHMETIC,0,7.736247926950455,7.736247926950455
2,unified,50,STORY,0,6.200173497200012,5.483792632818222
2,unified,50,ARITHMETIC,0,6.9265822768211365,7.736247926950455
2,unified,100,STORY,0,5.73502779006958,5.483792632818222
2,unified,100,ARITHMETIC,0,7.028267294168472,7.736247926950455
2,unified,200,STORY,0,5.683688074350357,5.483792632818222
2,unified,200,ARITHMETIC,0,7.068017065525055,7.736247926950455
2,unified,400,STORY,0,5.978431701660156,5.483792632818222
2,unified,400,ARITHMETIC,0,6.820632070302963,7.736247926950455
2,stratified-capacity-fork,0,STORY,0,5.485011011362076,5.483792632818222
2,stratified-capacity-fork,0,STORY,1,5.483884781599045,5.483792632818222
2,stratified-capacity-fork,0,ARITHMETIC,0,7.703334003686905,7.736247926950455
2,stratified-capacity-fork,0,ARITHMETIC,1,7.767591059207916,7.736247926950455
2,stratified-capacity-fork,50,STORY,0,5.898129463195801,5.483792632818222
2,stratified-capacity-fork,50,STORY,1,5.898321777582169,5.483792632818222
2,stratified-capacity-fork,50,ARITHMETIC,0,7.044054210186005,7.736247926950455
2,stratified-capacity-fork,50,ARITHMETIC,1,7.044052481651306,7.736247926950455
2,stratified-capacity-fork,100,STORY,0,5.6610884964466095,5.483792632818222
2,stratified-capacity-fork,100,STORY,1,5.684676110744476,5.483792632818222
2,stratified-capacity-fork,100,ARITHMETIC,0,7.127816647291184,7.736247926950455
2,stratified-capacity-fork,100,ARITHMETIC,1,7.098856657743454,7.736247926950455
2,stratified-capacity-fork,200,STORY,0,5.64144566655159,5.483792632818222
2,stratified-capacity-fork,200,STORY,1,5.636440843343735,5.483792632818222
2,stratified-capacity-fork,200,ARITHMETIC,0,7.133938640356064,7.736247926950455
2,stratified-capacity-fork,200,ARITHMETIC,1,7.141594231128693,7.736247926950455
2,stratified-capacity-fork,400,STORY,0,5.829716235399246,5.483792632818222
2,stratified-capacity-fork,400,STORY,1,5.813872337341309,5.483792632818222
2,stratified-capacity-fork,400,ARITHMETIC,0,6.931534558534622,7.736247926950455
2,stratified-capacity-fork,400,ARITHMETIC,1,6.944282680749893,7.736247926950455
2,geometry-bifurcation-fork,0,STORY,0,5.485011011362076,5.483792632818222
2,geometry-bifurcation-fork,0,STORY,1,5.483884781599045,5.483792632818222
2,geometry-bifurcation-fork,0,ARITHMETIC,0,7.703334003686905,7.736247926950455
2,geometry-bifurcation-fork,0,ARITHMETIC,1,7.767591059207916,7.736247926950455
2,geometry-bifurcation-fork,50,STORY,0,5.4870240688323975,5.483792632818222
2,geometry-bifurcation-fork,50,STORY,1,6.52106574177742,5.483792632818222
2,geometry-bifurcation-fork,50,ARITHMETIC,0,7.745815724134445,7.736247926950455
2,geometry-bifurcation-fork,50,ARITHMETIC,1,6.771517336368561,7.736247926950455
2,geometry-bifurcation-fork,100,STORY,0,5.487999230623245,5.483792632818222
2,geometry-bifurcation-fork,100,STORY,1,6.35989174246788,5.483792632818222
2,geometry-bifurcation-fork,100,ARITHMETIC,0,7.744659096002579,7.736247926950455
2,geometry-bifurcation-fork,100,ARITHMETIC,1,6.674255013465881,7.736247926950455
2,geometry-bifurcation-fork,200,STORY,0,5.485127985477448,5.483792632818222
2,geometry-bifurcation-fork,200,STORY,1,6.707655876874924,5.483792632818222
2,geometry-bifurcation-fork,200,ARITHMETIC,0,7.733333170413971,7.736247926950455
2,geometry-bifurcation-fork,200,ARITHMETIC,1,6.631784975528717,7.736247926950455
2,geometry-bifurcation-fork,400,STORY,0,5.484191715717316,5.483792632818222
2,geometry-bifurcation-fork,400,STORY,1,6.610748052597046,5.483792632818222
2,geometry-bifurcation-fork,400,ARITHMETIC,0,7.739363968372345,7.736247926950455
2,geometry-bifurcation-fork,400,ARITHMETIC,1,6.631617456674576,7.736247926950455
