replicate,arm,domain,branch,nll,parent_nll,utility
0,unified,STORY,0,5.77943629026413,5.424857318401337,-0.3545789718627929
0,unified,ARITHMETIC,0,6.851367890834808,7.653127789497375,0.8017598986625671
0,stratified-capacity-fork,STORY,0,5.815684705972672,5.424857318401337,-0.3908273875713348
0,stratified-capacity-fork,STORY,1,5.81955024600029,5.424857318401337,-0.3946929275989532
0,stratified-capacity-fork,ARITHMETIC,0,6.829662263393402,7.653127789497375,0.8234655261039734
0,stratified-capacity-fork,ARITHMETIC,1,6.826769828796387,7.653127789497375,0.8263579607009888
0,geometry-bifurcation-fork,STORY,0,6.31853848695755,5.424857318401337,-0.8936811685562134
0,geometry-bifurcation-fork,STORY,1,5.424536615610123,5.424857318401337,0.0003207027912139
0,geometry-bifurcation-fork,ARITHMETIC,0,6.643752813339233,7.653127789497375,1.009374976158142
0,geometry-bifurcation-fork,ARITHMETIC,1,7.671735405921936,7.653127789497375,-0.0186076164245605
1,unified,STORY,0,5.778686016798019,5.425915062427521,-0.3527709543704986
1,unified,ARITHMETIC,0,6.913644850254059,7.622761458158493,0.7091166079044342
1,stratified-capacity-fork,STORY,0,5.720011591911316,5.425915062427521,-0.2940965294837951
1,stratified-capacity-fork,STORY,1,5.719300359487534,5.425915062427521,-0.2933852970600128
1,stratified-capacity-fork,ARITHMETIC,0,6.957751512527466,7.622761458158493,0.6650099456310272
1,stratified-capacity-fork,ARITHMETIC,1,6.958654254674912,7.622761458158493,0.6641072034835815
1,geometry-bifurcation-fork,STORY,0,5.425989985466003,5.425915062427521,-7.492303848266602e-05
1,geometry-bifurcation-fork,STORY,1,6.417073607444763,5.425915062427521,-0.9911585450172424
1,geometry-bifurcation-fork,ARITHMETIC,0,7.625561088323593,7.622761458158493,-0.0027996301651
1,geometry-bifurcation-fork,ARITHMETIC,1,6.713322192430496,7.622761458158493,0.9094392657279968
2,unified,STORY,0,5.978431701660156,5.483792632818222,-0.4946390688419342
2,unified,ARITHMETIC,0,6.820632070302963,7.736247926950455,0.9156158566474916
2,stratified-capacity-fork,STORY,0,5.829716235399246,5.483792632818222,-0.3459236025810241
2,stratified-capacity-fork,STORY,1,5.813872337341309,5.483792632818222,-0.3300797045230865
2,stratified-capacity-fork,ARITHMETIC,0,6.931534558534622,7.736247926950455,0.8047133684158325
2,stratified-capacity-fork,ARITHMETIC,1,6.944282680749893,7.736247926950455,0.7919652462005615
2,geometry-bifurcation-fork,STORY,0,5.484191715717316,5.483792632818222,-0.0003990828990936
2,geometry-bifurcation-fork,STORY,1,6.610748052597046,5.483792632818222,-1.126955419778824
2,geometry-bifurcation-fork,ARITHMETIC,0,7.739363968372345,7.736247926950455,-0.0031160414218902
2,geometry-bifurcation-fork,ARITHMETIC,1,6.631617456674576,7.736247926950455,1.104630470275879
