replicate,stage,family,branch,nll,parent_nll,utility
0,A_STORY_ONLY,STORY,0,5.465633243322372,5.464617669582367,-0.0010155737400054
0,B_EMERGING_MATH,STORY,0,5.710622131824493,5.464617669582367,-0.2460044622421264
0,B_EMERGING_MATH,ARITHMETIC,0,6.88069149851799,7.59464555978775,0.7139540612697601
0,C_DUPLICATE_CONTROL,STORY,0,6.021452754735947,5.464617669582367,-0.5568350851535797
0,C_DUPLICATE_CONTROL,ARITHMETIC,0,6.680969595909119,7.59464555978775,0.9136759638786316
0,D_THIRD_MODE,STORY,0,5.849651694297791,5.464617669582367,-0.3850340247154236
0,D_THIRD_MODE,ARITHMETIC,0,6.817894250154495,7.59464555978775,0.776751309633255
0,D_THIRD_MODE,TRANSFORM,0,6.818219482898712,7.847524672746658,1.0293051898479462
1,A_STORY_ONLY,STORY,0,5.501261591911316,5.500430077314377,-0.000831514596939
1,B_EMERGING_MATH,STORY,0,5.739639401435852,5.500430077314377,-0.2392093241214752
1,B_EMERGING_MATH,ARITHMETIC,0,7.023909240961075,7.72035014629364,0.6964409053325653
1,C_DUPLICATE_CONTROL,STORY,0,5.881480187177658,5.500430077314377,-0.3810501098632812
1,C_DUPLICATE_CONTROL,ARITHMETIC,0,6.920209169387817,7.72035014629364,0.8001409769058228
1,D_THIRD_MODE,STORY,0,5.982061207294464,5.500430077314377,-0.4816311299800873
1,D_THIRD_MODE,ARITHMETIC,0,6.886988520622253,7.72035014629364,0.8333616256713867
1,D_THIRD_MODE,TRANSFORM,0,7.01350525021553,8.133595407009125,1.1200901567935944
2,A_STORY_ONLY,STORY,0,5.490496397018433,5.4901429414749146,-0.000353455543518
2,B_EMERGING_MATH,STORY,0,5.731573015451431,5.4901429414749146,-0.2414300739765167
2,B_EMERGING_MATH,ARITHMETIC,0,7.025901317596436,7.768919736146927,0.7430184185504913
2,C_DUPLICATE_CONTROL,STORY,0,6.0612616539001465,5.4901429414749146,-0.5711187124252319
2,C_DUPLICATE_CONTROL,ARITHMETIC,0,6.734094351530075,7.768919736146927,1.0348253846168518
2,D_THIRD_MODE,STORY,0,5.909868836402893,5.4901429414749146,-0.4197258949279785
2,D_THIRD_MODE,ARITHMETIC,0,6.874345302581787,7.768919736146927,0.8945744335651398
2,D_THIRD_MODE,TRANSFORM,0,7.0173012018203735,8.161653280258179,1.1443520784378052
