replicate,step,stage,subphase,active_k_before,active_k_after,selected_k,selected_cluster_purity_posthoc,candidate_k,candidate_stable_evaluations,candidate_last_stability,shadow_loss,k1_normalized_residual,k1_objective,k1_min_fraction,k2_normalized_residual,k2_objective,k2_min_fraction,k3_normalized_residual,k3_objective,k3_min_fraction,k4_normalized_residual,k4_objective,k4_min_fraction
0,736,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.65625,0,0,0.0,7.598442077636719,1.0,1.0,1.0,0.640281666733369,1000000.0,0.21875,0.5450076659371208,1000000.0,0.1354166716337204,0.5185044905081089,1000000.0,0.020833333954215
0,768,C_DUPLICATE_CONTROL,duplicate-arithmetic,1,1,1,0.65625,0,0,0.0,5.380274295806885,1.0,1.0,1.0,0.6633271644502694,1000000.0,0.1666666716337204,0.6394992978349512,1000000.0,0.0104166669771075,0.6127344283870314,1000000.0,0.0104166669771075
0,800,D_THIRD_MODE,three-way,1,1,1,0.5208333333333334,0,0,0.0,5.514384269714356,1.0,1.0,1.0,0.6564176906090874,1000000.0,0.1979166716337204,0.6170164683962271,1000000.0,0.0729166641831398,0.5889193638388421,1000000.0,0.0104166669771075
0,832,D_THIRD_MODE,three-way,1,1,1,0.375,0,0,0.0,7.5804762840271,1.0,1.0,1.0,0.6110613716616982,1000000.0,0.1979166716337204,0.5595887511126171,1000000.0,0.0416666679084301,0.5133497937626245,1000000.0,0.0416666679084301
0,864,D_THIRD_MODE,three-way,1,1,1,0.3854166666666667,0,0,0.0,7.872564315795898,1.0,1.0,1.0,0.552661483604048,1000000.0,0.21875,0.4933993893408692,1000000.0,0.09375,0.4724343302230998,1000000.0,0.020833333954215
0,896,D_THIRD_MODE,three-way,1,1,1,0.3854166666666667,0,0,0.0,5.556686401367188,1.0,1.0,1.0,0.5907583205704593,1000000.0,0.1979166716337204,0.5531544060734812,1000000.0,0.0416666679084301,0.48236607216376,1000000.0,0.0104166669771075
0,928,D_THIRD_MODE,three-way,1,1,1,0.375,0,0,0.0,7.852988243103027,1.0,1.0,1.0,0.6467357567385092,1000000.0,0.2395833283662796,0.6357545408666418,1000000.0,0.0104166669771075,0.5028242170750521,1000000.0,0.0104166669771075
0,960,D_THIRD_MODE,three-way,1,1,1,0.375,0,0,0.0,7.585123538970947,1.0,1.0,1.0,0.6858059929147805,1000000.0,0.2604166567325592,0.5926417043888998,1000000.0,0.0625,0.5711332414878961,1000000.0,0.03125
0,992,D_THIRD_MODE,three-way,1,1,1,0.375,0,0,0.0,5.563598155975342,1.0,1.0,1.0,0.6845366084196445,1000000.0,0.1770833283662796,0.5967597508480986,1000000.0,0.0729166641831398,0.5590787806889379,1000000.0,0.0416666679084301
0,1024,D_THIRD_MODE,three-way,1,1,1,0.4479166666666667,0,0,0.0,7.569247245788574,1.0,1.0,1.0,0.639846962862178,1000000.0,0.2083333283662796,0.5786288926309592,1000000.0,0.0625,0.5113533521831023,1000000.0,0.0625
0,1056,D_THIRD_MODE,three-way,1,1,1,0.4166666666666667,0,0,0.0,7.88717794418335,1.0,1.0,1.0,0.6189701309865576,1000000.0,0.2083333283662796,0.5697614729892899,1000000.0,0.0625,0.527767744195311,1000000.0,0.0520833320915699
0,1088,D_THIRD_MODE,three-way,1,1,1,0.40625,0,0,0.0,7.557095527648926,1.0,1.0,1.0,0.5993886554415541,1000000.0,0.1875,0.5668634724208378,1000000.0,0.0520833320915699,0.516052810606956,1000000.0,0.0520833320915699
0,1120,D_THIRD_MODE,three-way,1,1,1,0.3541666666666667,0,0,0.0,5.52791690826416,1.0,1.0,1.0,0.6720511748509266,1000000.0,0.15625,0.626066994374905,1000000.0,0.0833333358168602,0.6039320765553472,1000000.0,0.0104166669771075
0,1152,D_THIRD_MODE,three-way,1,1,1,0.3958333333333333,0,0,0.0,5.537317752838135,1.0,1.0,1.0,0.6853190202163548,1000000.0,0.1666666716337204,0.6604994997518154,1000000.0,0.020833333954215,0.6007499995816686,1000000.0,0.03125
1,96,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.527152061462402,1.0,1.0,1.0,0.8644614656917899,1000000.0,0.4479166567325592,0.8295772741860025,1000000.0,0.125,0.7952502041733418,1000000.0,0.03125
1,128,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.845946788787842,1.0,1.0,1.0,0.8544108340806157,1000000.0,0.3229166567325592,0.8035939787960997,1000000.0,0.1770833283662796,0.7800928060830675,1000000.0,0.0729166641831398
1,160,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.620375156402588,1.0,1.0,1.0,0.878201512320516,1000000.0,0.3229166567325592,0.8451735929385262,1000000.0,0.15625,0.803511757394793,1000000.0,0.1354166716337204
1,192,A_STORY_ONLY,story-only,1,1,1,1.0,0,0,0.0,5.559027671813965,1.0,1.0,1.0,0.8752442430088159,1000000.0,0.4375,0.8344297154671234,1000000.0,0.25,0.803978754873928,1000000.0,0.15625
1,224,B_EMERGING_MATH,math-10,1,1,1,0.9583333333333334,0,0,0.0,5.462578296661377,1.0,1.0,1.0,0.8630433960698046,1000000.0,0.4583333432674408,0.8181456142630482,1000000.0,0.2395833283662796,0.7955536183237024,1000000.0,0.125
1,256,B_EMERGING_MATH,math-10,1,1,1,0.9479166666666666,0,0,0.0,5.591084003448486,1.0,1.0,1.0,0.8500795441600945,1000000.0,0.5,0.7954646247299771,1000000.0,0.2708333432674408,0.7719821745887603,1000000.0,0.09375
1,288,B_EMERGING_MATH,math-10,1,1,1,0.90625,0,0,0.0,5.497054100036621,1.0,1.0,1.0,0.8453733092623744,1000000.0,0.34375,0.7769851621694561,1000000.0,0.2604166567325592,0.7476448612149501,1000000.0,0.1041666641831398
1,320,B_EMERGING_MATH,math-10,1,1,1,0.90625,0,0,0.0,7.728963851928711,1.0,1.0,1.0,0.8595482374299569,1000000.0,0.34375,0.8041794575887962,1000000.0,0.2291666716337204,0.782266160495544,1000000.0,0.1875
1,352,B_EMERGING_MATH,math-30,1,1,1,0.8229166666666666,0,0,0.0,5.368415832519531,1.0,1.0,1.0,0.8410045319528875,1000000.0,0.3229166567325592,0.7564290896363232,1000000.0,0.2916666567325592,0.7210748725479209,1000000.0,0.125
