seed,pass,cells,prototypes,pair_mse,triple_mse,pair_recall,triple_recall,key_cosine,effect_cosine,late_similarity,transaction_baseline_pair_mse,shuffled_effect_pair_mse
90211,True,6,12,1.7392292863804043e-06,1.3566585769132728e-06,1.0,1.0,0.9999583603248711,0.9999967566495999,0.9999867958098704,0.02603916319056038,0.03655540672121614
90212,True,6,12,1.485757820571599e-06,1.1633581269159368e-06,1.0,1.0,0.999961645414018,0.9999975197498187,0.9999850372927127,0.025791366413632957,0.04575240710764738
90213,True,6,12,1.332720149303277e-06,1.3275694172086248e-06,1.0,1.0,0.9999602267579526,0.999996338181902,0.9999869533467903,0.02788926794630941,0.04738947958952069
