replicate,stage,family,branch,nll,parent_nll,utility
0,A_STORY_NULL,STORY,0,5.451850265264511,5.451977133750916,0.0001268684864044
0,A_STORY_NULL,ARITHMETIC,0,7.702571660280228,7.72740963101387,0.0248379707336425
0,A_STORY_NULL,TRANSFORM,0,7.875442206859589,7.901337713003159,0.0258955061435699
0,B_ARITHMETIC_BIRTH,STORY,0,6.185514658689499,5.451977133750916,-0.7335375249385834
0,B_ARITHMETIC_BIRTH,STORY,1,5.452361077070236,5.451977133750916,-0.0003839433193206
0,B_ARITHMETIC_BIRTH,ARITHMETIC,0,6.660812497138977,7.72740963101387,1.0665971338748932
0,B_ARITHMETIC_BIRTH,ARITHMETIC,1,7.709989428520203,7.72740963101387,0.0174202024936676
0,B_ARITHMETIC_BIRTH,TRANSFORM,0,6.696283906698227,7.901337713003159,1.2050538063049316
0,B_ARITHMETIC_BIRTH,TRANSFORM,1,7.883565902709961,7.901337713003159,0.0177718102931976
0,C_DUPLICATE_ARITHMETIC,STORY,0,6.290061801671982,5.451977133750916,-0.8380846679210663
0,C_DUPLICATE_ARITHMETIC,STORY,1,5.452307462692261,5.451977133750916,-0.0003303289413452
0,C_DUPLICATE_ARITHMETIC,ARITHMETIC,0,6.635844379663467,7.72740963101387,1.0915652513504028
0,C_DUPLICATE_ARITHMETIC,ARITHMETIC,1,7.733369708061218,7.72740963101387,-0.005960077047348
0,C_DUPLICATE_ARITHMETIC,TRANSFORM,0,6.678475260734558,7.901337713003159,1.2228624522686005
0,C_DUPLICATE_ARITHMETIC,TRANSFORM,1,7.908886045217514,7.901337713003159,-0.0075483322143554
0,D_WEAK_TRANSFORM,STORY,0,6.347791761159897,5.451977133750916,-0.8958146274089813
0,D_WEAK_TRANSFORM,STORY,1,5.452734768390656,5.451977133750916,-0.0007576346397399
0,D_WEAK_TRANSFORM,ARITHMETIC,0,6.628779083490372,7.72740963101387,1.0986305475234983
0,D_WEAK_TRANSFORM,ARITHMETIC,1,7.739511847496033,7.72740963101387,-0.0121022164821624
0,D_WEAK_TRANSFORM,TRANSFORM,0,6.599925726652145,7.901337713003159,1.3014119863510132
0,D_WEAK_TRANSFORM,TRANSFORM,1,7.920049458742142,7.901337713003159,-0.0187117457389831
0,E_TRANSFORM_BIRTH,STORY,0,6.453538328409195,5.451977133750916,-1.0015611946582794
0,E_TRANSFORM_BIRTH,STORY,1,5.452383786439896,5.451977133750916,-0.0004066526889801
0,E_TRANSFORM_BIRTH,ARITHMETIC,0,6.636539101600647,7.72740963101387,1.0908705294132233
0,E_TRANSFORM_BIRTH,ARITHMETIC,1,7.720029532909393,7.72740963101387,0.0073800981044769
0,E_TRANSFORM_BIRTH,TRANSFORM,0,6.534123331308365,7.901337713003159,1.3672143816947937
0,E_TRANSFORM_BIRTH,TRANSFORM,1,7.888563603162765,7.901337713003159,0.012774109840393
1,A_STORY_NULL,STORY,0,5.403725296258926,5.403746128082275,2.0831823348999023e-05
1,A_STORY_NULL,ARITHMETIC,0,7.728750288486481,7.734101265668869,0.0053509771823883
1,A_STORY_NULL,TRANSFORM,0,7.990113884210586,7.998383045196533,0.0082691609859466
1,B_ARITHMETIC_BIRTH,STORY,0,6.302356243133545,5.403746128082275,-0.8986101150512695
1,B_ARITHMETIC_BIRTH,STORY,1,5.403798341751099,5.403746128082275,-5.221366882324219e-05
1,B_ARITHMETIC_BIRTH,ARITHMETIC,0,6.696151286363602,7.734101265668869,1.0379499793052671
1,B_ARITHMETIC_BIRTH,ARITHMETIC,1,7.733306288719177,7.734101265668869,0.0007949769496917
1,B_ARITHMETIC_BIRTH,TRANSFORM,0,6.755526810884476,7.998383045196533,1.2428562343120575
1,B_ARITHMETIC_BIRTH,TRANSFORM,1,7.998161405324936,7.998383045196533,0.0002216398715972
1,C_DUPLICATE_ARITHMETIC,STORY,0,6.336567044258118,5.403746128082275,-0.9328209161758424
1,C_DUPLICATE_ARITHMETIC,STORY,1,5.403937220573425,5.403746128082275,-0.0001910924911499
1,C_DUPLICATE_ARITHMETIC,ARITHMETIC,0,6.689994305372238,7.734101265668869,1.0441069602966309
1,C_DUPLICATE_ARITHMETIC,ARITHMETIC,1,7.729287892580032,7.734101265668869,0.0048133730888366
1,C_DUPLICATE_ARITHMETIC,TRANSFORM,0,6.7479057013988495,7.998383045196533,1.2504773437976835
1,C_DUPLICATE_ARITHMETIC,TRANSFORM,1,7.996012449264526,7.998383045196533,0.0023705959320068
1,D_WEAK_TRANSFORM,STORY,0,6.312773168087006,5.403746128082275,-0.9090270400047302
1,D_WEAK_TRANSFORM,STORY,1,5.403543829917908,5.403746128082275,0.0002022981643676
1,D_WEAK_TRANSFORM,ARITHMETIC,0,6.69655367732048,7.734101265668869,1.037547588348389
1,D_WEAK_TRANSFORM,ARITHMETIC,1,7.740846395492554,7.734101265668869,-0.0067451298236846
1,D_WEAK_TRANSFORM,TRANSFORM,0,6.719824939966202,7.998383045196533,1.2785581052303314
1,D_WEAK_TRANSFORM,TRANSFORM,1,8.007684081792831,7.998383045196533,-0.0093010365962982
1,E_TRANSFORM_BIRTH,STORY,0,6.544975757598877,5.403746128082275,-1.1412296295166016
1,E_TRANSFORM_BIRTH,STORY,1,5.404315769672394,5.403746128082275,-0.0005696415901184
1,E_TRANSFORM_BIRTH,STORY,2,5.405564665794373,5.403746128082275,-0.0018185377120971
1,E_TRANSFORM_BIRTH,ARITHMETIC,0,6.711704254150391,7.734101265668869,1.0223970115184784
1,E_TRANSFORM_BIRTH,ARITHMETIC,1,7.740422606468201,7.734101265668869,-0.0063213407993316
1,E_TRANSFORM_BIRTH,ARITHMETIC,2,7.710154175758362,7.734101265668869,0.0239470899105072
1,E_TRANSFORM_BIRTH,TRANSFORM,0,6.601085305213928,7.998383045196533,1.397297739982605
1,E_TRANSFORM_BIRTH,TRANSFORM,1,8.006423562765121,7.998383045196533,-0.0080405175685882
1,E_TRANSFORM_BIRTH,TRANSFORM,2,7.983461081981659,7.998383045196533,0.0149219632148742
2,A_STORY_NULL,STORY,0,5.523993790149689,5.525049597024918,0.0010558068752288
2,A_STORY_NULL,ARITHMETIC,0,7.650345504283905,7.651446223258972,0.0011007189750671
2,A_STORY_NULL,TRANSFORM,0,7.963193118572235,7.963890969753265,0.0006978511810302
2,B_ARITHMETIC_BIRTH,STORY,0,6.0788829028606415,5.525049597024918,-0.5538333058357239
2,B_ARITHMETIC_BIRTH,STORY,1,5.525111317634583,5.525049597024918,-6.172060966491699e-05
2,B_ARITHMETIC_BIRTH,ARITHMETIC,0,6.721880525350571,7.651446223258972,0.9295656979084016
2,B_ARITHMETIC_BIRTH,ARITHMETIC,1,7.671731561422348,7.651446223258972,-0.0202853381633758
2,B_ARITHMETIC_BIRTH,TRANSFORM,0,6.898919761180878,7.963890969753265,1.0649712085723877
2,B_ARITHMETIC_BIRTH,TRANSFORM,1,7.982672840356827,7.963890969753265,-0.0187818706035614
2,C_DUPLICATE_ARITHMETIC,STORY,0,6.545206040143967,5.525049597024918,-1.020156443119049
2,C_DUPLICATE_ARITHMETIC,STORY,1,5.524024158716202,5.525049597024918,0.0010254383087158
2,C_DUPLICATE_ARITHMETIC,ARITHMETIC,0,6.637507677078247,7.651446223258972,1.013938546180725
2,C_DUPLICATE_ARITHMETIC,ARITHMETIC,1,7.638019621372223,7.651446223258972,0.0134266018867492
2,C_DUPLICATE_ARITHMETIC,TRANSFORM,0,6.781339854001999,7.963890969753265,1.1825511157512665
2,C_DUPLICATE_ARITHMETIC,TRANSFORM,1,7.951001554727554,7.963890969753265,0.012889415025711
2,D_WEAK_TRANSFORM,STORY,0,6.577376961708069,5.525049597024918,-1.0523273646831512
2,D_WEAK_TRANSFORM,STORY,1,5.524194955825806,5.525049597024918,0.0008546411991119
2,D_WEAK_TRANSFORM,ARITHMETIC,0,6.642836272716522,7.651446223258972,1.00860995054245
2,D_WEAK_TRANSFORM,ARITHMETIC,1,7.650316834449768,7.651446223258972,0.0011293888092041
2,D_WEAK_TRANSFORM,TRANSFORM,0,6.725181043148041,7.963890969753265,1.2387099266052246
2,D_WEAK_TRANSFORM,TRANSFORM,1,7.963602364063263,7.963890969753265,0.0002886056900024
2,E_TRANSFORM_BIRTH,STORY,0,6.567293226718903,5.525049597024918,-1.042243629693985
2,E_TRANSFORM_BIRTH,STORY,1,5.524796217679977,5.525049597024918,0.0002533793449401
2,E_TRANSFORM_BIRTH,ARITHMETIC,0,6.67005467414856,7.651446223258972,0.9813915491104126
2,E_TRANSFORM_BIRTH,ARITHMETIC,1,7.644073218107223,7.651446223258972,0.0073730051517486
2,E_TRANSFORM_BIRTH,TRANSFORM,0,6.670655339956284,7.963890969753265,1.2932356297969818
2,E_TRANSFORM_BIRTH,TRANSFORM,1,7.958519220352173,7.963890969753265,0.0053717494010925
