replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,capacity-shadow,25,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,25,STORY,STORY,1,0.2120199203491211,0
0,A_STORY_NULL,incumbent,26,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,26,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,26,STORY,STORY,0,0.689786434173584,0
0,A_STORY_NULL,incumbent,27,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,27,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,27,STORY,STORY,0,0.764815092086792,0
0,A_STORY_NULL,incumbent,28,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,28,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,28,STORY,STORY,0,0.1426694393157959,0
0,A_STORY_NULL,incumbent,29,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,29,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,29,STORY,STORY,0,0.1105883121490478,0
0,A_STORY_NULL,incumbent,30,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,30,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,30,STORY,STORY,1,0.5487382411956787,0
0,A_STORY_NULL,incumbent,31,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,31,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,31,STORY,STORY,0,0.21718430519104,0
0,A_STORY_NULL,incumbent,32,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,32,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,32,STORY,STORY,1,0.2259689569473266,0
0,A_STORY_NULL,incumbent,33,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,33,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,33,STORY,STORY,1,0.4745107889175415,0
0,A_STORY_NULL,incumbent,34,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,34,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,34,STORY,STORY,1,0.0431510210037231,0
0,A_STORY_NULL,incumbent,35,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,35,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,35,STORY,STORY,0,0.5468733310699463,0
0,A_STORY_NULL,incumbent,36,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,36,STORY,STORY,1,,0
