replicate,stage,arm,window,step_end,prequential_nll
1,B_ARITHMETIC_BIRTH,geometry-shadow,1,128,6.277535937726498
1,B_ARITHMETIC_BIRTH,incumbent,2,192,6.379252575337887
1,B_ARITHMETIC_BIRTH,capacity-shadow,2,192,6.378269679844379
1,B_ARITHMETIC_BIRTH,geometry-shadow,2,192,6.207538232207298
1,B_ARITHMETIC_BIRTH,incumbent,3,256,6.36435279250145
1,B_ARITHMETIC_BIRTH,capacity-shadow,3,256,6.364450462162495
1,B_ARITHMETIC_BIRTH,geometry-shadow,3,256,6.290487289428711
1,C_DUPLICATE_ARITHMETIC,incumbent,0,64,6.216517508029938
1,C_DUPLICATE_ARITHMETIC,capacity-shadow,0,64,6.216627888381481
1,C_DUPLICATE_ARITHMETIC,geometry-shadow,0,64,6.233643375337124
1,C_DUPLICATE_ARITHMETIC,incumbent,1,128,6.232781954109669
1,C_DUPLICATE_ARITHMETIC,capacity-shadow,1,128,6.232891827821732
1,C_DUPLICATE_ARITHMETIC,geometry-shadow,1,128,6.215968742966652
1,C_DUPLICATE_ARITHMETIC,incumbent,2,192,6.082957446575165
1,C_DUPLICATE_ARITHMETIC,capacity-shadow,2,192,6.082924582064152
1,C_DUPLICATE_ARITHMETIC,geometry-shadow,2,192,6.059267140924931
1,C_DUPLICATE_ARITHMETIC,incumbent,3,256,6.246833078563213
1,C_DUPLICATE_ARITHMETIC,capacity-shadow,3,256,6.24686399102211
1,C_DUPLICATE_ARITHMETIC,geometry-shadow,3,256,6.23651310801506
1,D_WEAK_TRANSFORM,incumbent,0,64,6.1918638572096825
1,D_WEAK_TRANSFORM,capacity-shadow,0,64,6.191928245127201
1,D_WEAK_TRANSFORM,geometry-shadow,0,64,6.1918638572096825
1,D_WEAK_TRANSFORM,incumbent,1,128,6.425663657486439
1,D_WEAK_TRANSFORM,capacity-shadow,1,128,6.425717659294605
1,D_WEAK_TRANSFORM,geometry-shadow,1,128,6.425782613456249
1,D_WEAK_TRANSFORM,incumbent,2,192,6.329983025789261
1,D_WEAK_TRANSFORM,capacity-shadow,2,192,6.32998825609684
1,D_WEAK_TRANSFORM,geometry-shadow,2,192,6.329973548650742
1,D_WEAK_TRANSFORM,incumbent,3,256,6.368660733103752
1,D_WEAK_TRANSFORM,capacity-shadow,3,256,6.368769653141499
1,D_WEAK_TRANSFORM,geometry-shadow,3,256,6.368662945926189
1,E_TRANSFORM_BIRTH,incumbent,0,64,6.398280330002308
1,E_TRANSFORM_BIRTH,capacity-shadow,0,64,6.398268088698387
