step,story_train_nll
1,7.693640232086182
50,6.595620632171631
100,5.949420928955078
200,5.746251583099365
300,5.523150444030762
1,7.64793586730957
50,6.592899322509766
100,5.898306369781494
200,5.629390716552734
300,5.593494415283203
1,7.622817039489746
50,6.50439977645874
100,5.976070404052734
200,5.706526756286621
300,5.499335289001465
