replicate,baseline_skill_improvement,localized_skill_improvement,localized_over_baseline_skill_improvement,baseline_language_ratio,localized_language_ratio,localized_recipient_language_ratio,localized_transplant_recovery,localized_newborn_count,localized_base_memory_drift,localized_tissue_causal_fraction
0,3.5431127548217773,2.998069490705217,0.8461682419294114,1.575281131204093,1.1958857133677898,1.1958857133677898,1.0,1,0.0,1.0
1,3.7376005308968683,3.100551400865828,0.8295566568002988,1.6080039435859892,1.19954917718838,1.19954917718838,1.0,1,0.0,1.0
2,3.640309538160051,2.905429567609514,0.7981270650621725,1.401561515732341,1.2356269908045328,1.2356269908045328,1.0,1,0.0,1.0
