replicate,skill,base_skill_nll,donor_skill_nll,recipient_skill_nll,skill_improvement,transplant_recovery,base_language_nll,donor_language_nll,recipient_language_nll,donor_language_ratio,recipient_language_ratio,selected_cells,selected_cell_count,donor_alive_cells,recipient_alive_cells,policy
0,REVERSE_INC,9.978390966142928,6.435278211321149,7.724917343684605,3.5431127548217773,0.6360152155450312,4.638154059648514,7.306396573781967,6.000909358263016,1.575281131204093,1.2938141512957364,"[1, 3, 4, 6, 7, 8]",6,9,9,B
0,REVERSE_INC,9.978390966142928,6.98032147543771,6.98032147543771,2.998069490705217,1.0,4.638154059648514,5.546702176332474,5.546702176332474,1.1958857133677898,1.1958857133677898,[7],1,8,8,L
1,REVERSE_INC,9.902867998395648,6.165267467498779,7.116080624716623,3.737600530896868,0.7456086734368887,4.582965970039368,7.369427353143692,6.256224721670151,1.6080039435859892,1.3651039005241423,"[1, 2, 3, 7, 8]",5,9,9,B
1,REVERSE_INC,9.902867998395648,6.80231659752982,6.80231659752982,3.100551400865828,1.0,4.582965970039368,5.4974930584430695,5.4974930584430695,1.19954917718838,1.19954917718838,[7],1,8,8,L
2,REVERSE_INC,9.968307086399625,6.327997548239572,7.4463991437639505,3.640309538160051,0.6927729403775754,4.652176767587662,6.520311921834946,6.268259346485138,1.401561515732341,1.3473820234340492,"[1, 2, 3, 6]",4,7,7,B
2,REVERSE_INC,9.968307086399625,7.062877518790109,7.062877518790109,2.905429567609514,1.0,4.652176767587662,5.748355180025101,5.748355180025101,1.2356269908045328,1.2356269908045328,[7],1,8,8,L
