replicate,policy,parameters,phase1_alive_cells,phase1_edges,phase1_nll,phase1_ppl,phase1_wall_seconds,ablation_language_nll,ablation_skill_nll,base_language_nll,base_memory_drift,base_skill_nll,donor_alive_cells,donor_language_nll,donor_language_ratio,donor_skill_nll,elapsed_seconds,newborn_cells,newborn_count,recipient_alive_cells,recipient_language_nll,recipient_language_ratio,recipient_skill_nll,selected_cell_count,selected_cells,skill,skill_improvement,tissue_causal_fraction,transplant_recovery
0,B,395712,7,14,4.638154059648514,103.35338719887304,41.12117206800002,,,4.638154059648514,1.1384578943252563,9.978390966142927,9,7.306396573781967,1.575281131204093,6.435278211321149,10.769816779999985,"[7, 8]",2,9,6.000909358263016,1.2938141512957364,7.724917343684605,6,"[1, 3, 4, 6, 7, 8]",REVERSE_INC,3.5431127548217773,,0.6360152155450312
0,L,395712,7,14,4.638154059648514,103.35338719887304,41.12117206800002,4.638154059648514,9.978390966142927,4.638154059648514,0.0,9.978390966142927,8,5.546702176332474,1.1958857133677898,6.98032147543771,10.572989137999969,[7],1,8,5.546702176332474,1.1958857133677898,6.98032147543771,1,[7],REVERSE_INC,2.998069490705217,1.0,1.0
1,B,395712,7,14,4.582965970039368,97.80404831904815,42.418047674000036,,,4.582965970039368,1.118910789489746,9.902867998395648,9,7.369427353143692,1.6080039435859892,6.165267467498779,10.789205890000005,"[7, 8]",2,9,6.256224721670151,1.3651039005241423,7.116080624716623,5,"[1, 2, 3, 7, 8]",REVERSE_INC,3.7376005308968683,,0.7456086734368887
1,L,395712,7,14,4.582965970039368,97.80404831904815,42.418047674000036,4.582965970039368,9.902867998395648,4.582965970039368,0.0,9.902867998395648,8,5.4974930584430695,1.19954917718838,6.80231659752982,10.862236413000005,[7],1,8,5.4974930584430695,1.19954917718838,6.80231659752982,1,[7],REVERSE_INC,3.100551400865828,1.0,1.0
2,B,395712,7,14,4.652176767587662,104.81289074217213,38.855041691999986,,,4.652176767587662,0.9807912707328796,9.968307086399623,7,6.520311921834946,1.401561515732341,6.327997548239572,9.899190403000034,[],0,7,6.268259346485138,1.3473820234340492,7.4463991437639505,4,"[1, 2, 3, 6]",REVERSE_INC,3.640309538160051,,0.6927729403775754
2,L,395712,7,14,4.652176767587662,104.81289074217213,38.855041691999986,4.652176767587662,9.968307086399623,4.652176767587662,0.0,9.968307086399623,8,5.748355180025101,1.2356269908045328,7.062877518790109,10.366461066,[7],1,8,5.748355180025101,1.2356269908045328,7.062877518790109,1,[7],REVERSE_INC,2.905429567609514,1.0,1.0
