replicate,step,cell,pressure,conflict,best_incoming_utility
0,800,4,0.0227407719939947,0.6432930827140808,9.863325249170884e-05
0,800,5,0.0038600456900894,0.8476206064224243,8.554886153433472e-05
0,900,0,0.1185784414410591,0.6064534783363342,0.0015119763556867
0,900,1,0.0243506450206041,0.5542763471603394,2.936492091976106e-05
0,900,2,0.004831857047975,0.9752936363220216,5.050528488936834e-05
0,900,3,0.0273099914193153,0.4139044880867004,5.254592906567268e-05
0,900,4,0.0227051135152578,0.5717324614524841,6.188533006934449e-05
0,900,5,0.0031534342560917,0.7144373655319214,9.223191591445357e-05
0,1000,0,0.1303496211767196,0.7662585973739624,0.0013493096921592
0,1000,1,0.0304674841463565,0.8451238870620728,2.1527475837501697e-05
0,1000,2,0.0072024096734821,0.9867711067199708,1.2071819583070464e-05
0,1000,3,0.0273993164300918,0.8215761184692383,6.951304385438561e-05
0,1000,4,0.0273775868117809,0.8269277811050415,4.069891292601824e-05
0,1000,5,0.0041201650165021,0.9684329628944396,9.933412002283148e-06
0,1000,6,0.0043726172298192,0.9572796821594238,-0.0
1,200,0,0.0439962409436702,0.7043583393096924,0.0002276664599776
1,200,1,0.0269393622875213,0.7105714678764343,5.422341928351671e-05
1,200,2,0.0009999955072999,0.897193968296051,2.767644957657467e-07
1,200,3,0.000596655299887,0.3992602825164795,1.8521143374528043e-07
1,300,0,0.1286646723747253,0.2715771198272705,0.0019693879876285
1,300,1,0.0479674413800239,0.2711777091026306,5.921543561271392e-06
1,300,2,0.0010258422698825,0.392193853855133,8.109070677164709e-07
1,300,3,0.002006743568927,0.3319219946861267,-0.0
1,400,0,0.1959088593721389,0.434780478477478,0.0122182480990886
1,400,1,0.0812378451228141,0.4542645215988159,0.0003055013366974
1,400,2,0.0018920213915407,0.5347044467926025,6.112250048317946e-07
1,400,3,0.0011247602524235,0.2920958995819092,3.163368091918528e-07
1,500,0,0.1433192491531372,0.7930317521095276,0.0080370930954813
1,500,1,0.072433091700077,0.688531756401062,0.0002703344798646
1,500,2,0.0024363538250327,0.7493541240692139,6.575983775292116e-07
1,500,3,0.0013293782249093,0.946633517742157,-0.0
1,600,0,0.1212801560759544,0.7741119265556335,0.0010062362998723
1,600,1,0.0273804627358913,0.7545846104621887,9.781656990526244e-05
1,600,2,0.0026639776770025,0.6341791749000549,1.023931872623507e-06
1,600,3,0.0274330656975507,0.7244902849197388,0.0001111334422603
1,700,0,0.1243927925825119,0.584945797920227,0.0037696487270295
1,700,1,0.0356936156749725,0.6365619897842407,5.47503077541478e-05
1,700,2,0.0085515109822154,0.8561396598815918,3.498602018225938e-05
1,700,3,0.0355300828814506,0.63752681016922,0.0001574390189489
1,700,4,0.0042647249065339,0.6949646472930908,2.1558314983849414e-05
1,800,0,0.1085634008049964,0.8377401232719421,0.0036772058811038
1,800,1,0.0322819016873836,0.8461839556694031,8.401746890740469e-05
1,800,2,0.0055014067329466,0.9655341506004332,2.934309668489732e-05
1,800,3,0.0328449681401252,0.8501353859901428,-0.0
1,800,4,0.0062717855907976,0.9945167303085328,0.0001822221383918
1,900,0,0.1303286552429199,0.8180287480354309,0.003126170951873
1,900,1,0.0365153439342975,0.8029431104660034,7.962356903590262e-05
1,900,2,0.0047318190336227,0.9348673224449158,2.4156770450645126e-05
1,900,3,0.0361866280436515,0.8097113966941833,-0.0
1,900,4,0.0019623641856014,0.7667292356491089,0.0001021146963466
1,900,5,0.0018469628412276,0.4885681867599487,9.844123997027054e-05
1,1000,0,0.1138274669647216,0.6155931949615479,0.0026043709367513
1,1000,1,0.0246842969208955,0.635736882686615,8.123402221826836e-05
1,1000,2,0.0238134358078241,0.5976517796516418,3.630438004620373e-05
1,1000,3,0.0233629792928695,0.6378273963928223,0.0002480557013768
1,1000,4,0.0053655435331165,0.8071814179420471,6.038620995241217e-06
1,1000,5,0.0047186957672238,0.8062801361083984,-0.0
2,200,0,0.0629902556538581,0.3759507536888122,0.0078433081507682
2,200,1,0.030089596286416,0.4130948185920715,0.0001337204594165
2,200,2,0.0028049277607351,0.8993759751319885,3.5242676403868245e-06
2,200,3,0.0027815715875476,0.827139139175415,4.1790485738602e-06
2,300,0,0.1107434704899787,0.7189370393753052,-0.0
2,300,1,0.0479959659278392,0.6465818881988525,0.0001299453579122
2,300,2,0.0018813998904079,0.8573843836784363,2.080314516206272e-07
2,300,3,0.0013256283709779,0.9905961155891418,5.012340807297733e-06
2,400,0,0.1226479634642601,0.331741988658905,0.0026225047186017
2,400,1,0.0336005054414272,0.2953073978424072,0.0001404637878295
2,400,2,0.0033484168816357,0.7108615040779114,6.045133886800613e-07
2,400,3,0.0361854694783687,0.2687925696372986,-0.0
2,500,0,0.1245451867580413,0.5304087996482849,0.000990564120002
2,500,1,0.0301774442195892,0.519821286201477,4.9231486627832055e-05
2,500,2,0.0031046764925122,0.6647466421127319,3.736152393685188e-06
2,500,3,0.0302261020988225,0.4942749142646789,-0.0
2,600,0,0.1503447592258453,0.5161916017532349,0.0002490218030288
2,600,1,0.0276800990104675,0.53319251537323,4.136992356507108e-05
2,600,2,0.0298096500337123,0.4993203282356262,0.0001003175930236
2,600,3,0.0291134361177682,0.5150759220123291,0.0001584171404829
2,700,0,0.0996239408850669,0.8388657569885254,0.0017133690416812
2,700,1,0.0198466423898935,0.835218071937561,5.042139673605561e-05
2,700,2,0.0215984769165515,0.8509406447410583,1.5001147403381763e-05
2,700,3,0.0209335349500179,0.8671114444732666,-0.0
2,700,4,0.0054081361740827,0.8211082220077515,0.0002890100586228
2,800,0,0.112870380282402,0.8523859977722168,0.0004788473597727
2,800,1,0.0217313636094331,0.8113082051277161,5.596250048256479e-05
2,800,2,0.023523299023509,0.8079622387886047,2.2316089598461986e-07
2,800,3,0.0210574846714735,0.7932454347610474,-0.0
2,800,4,0.003581496188417,0.7442212104797363,7.038894545985386e-05
2,900,0,0.1398634612560272,0.5143593549728394,0.0036550762597471
2,900,1,0.0265201646834611,0.4893487691879272,6.814960215706378e-05
2,900,2,0.0285705979913473,0.5087701082229614,9.461249283049256e-05
2,900,3,0.028324544429779,0.4827274680137634,-0.0
2,900,4,0.0050357216969132,0.5691801309585571,-0.0
2,900,5,0.0047287861816585,0.7870883941650391,-0.0
2,1000,0,0.1634046286344528,0.887665867805481,0.0018384959548711
2,1000,1,0.0299929119646549,0.8578678369522095,2.3761833290336654e-05
2,1000,2,0.0334207043051719,0.8830718398094177,3.79035591322463e-05
2,1000,3,0.0310991890728473,0.8695690631866455,5.977425826131366e-05
2,1000,4,0.0062741190195083,0.7880339622497559,0.0001834234717534
2,1000,5,0.0060644540935754,0.8562685251235962,0.0001197827004943
