replicate,step,cell,pressure,conflict,best_incoming_utility
0,200,0,0.1081361770629882,0.2538451552391052,0.0125292018055915
0,200,1,0.0427536144852638,0.3082432746887207,0.0001743905741022
0,200,2,0.0016559918876737,0.1677532196044922,1.4793504305998797e-06
0,200,3,0.0040347473695874,0.8627138137817383,1.2177106327726506e-06
0,300,0,0.0908511579036712,0.5362070798873901,0.0031960899941623
0,300,1,0.0433074980974197,0.543402910232544,7.285273750312626e-05
0,300,2,0.0017408608691766,0.3104291558265686,2.2694325707561802e-07
0,300,3,0.0023570887278765,0.6334263682365417,7.883818398113362e-06
0,400,0,0.1018215119838714,0.798051655292511,0.0010784100741147
0,400,1,0.0234332662075757,0.8243894577026367,0.0001411830889992
0,400,2,0.0018892327789217,0.8553829193115234,8.276105063487194e-07
0,400,3,0.0246601291000843,0.8199447393417358,-0.0
0,500,0,0.1471505761146545,0.4244496822357178,0.0086041148751974
0,500,1,0.0327994711697101,0.53133624792099,7.818860467523336e-05
0,500,2,0.0030437833629548,0.3560978174209595,8.722707207198255e-06
0,500,3,0.0347216017544269,0.5120434761047363,-0.0
0,500,4,0.0017290943069383,0.3833389282226562,-0.0
0,600,0,0.1178920120000839,0.7018417716026306,0.0002726416569203
0,600,1,0.030760521069169,0.7291768789291382,5.152699668542482e-05
0,600,2,0.00488669751212,0.7861220836639404,4.466125574253965e-06
0,600,3,0.0315828919410705,0.7375999093055725,0.0002041324478341
0,600,4,0.00242481357418,0.7362242937088013,-0.0
0,700,0,0.0932947546243667,0.7603240013122559,0.0006798265967518
0,700,1,0.019571429118514,0.8271895051002502,1.775880082277581e-05
0,700,2,0.0099442908540368,0.4170032143592834,1.6356632841052487e-05
0,700,3,0.0207971855998039,0.7383701801300049,7.101499795680866e-05
0,700,4,0.0188970938324928,0.7983768582344055,1.2914730177726597e-05
0,800,0,0.1335061639547348,0.6453619003295898,0.0008427898865193
0,800,1,0.023499934002757,0.6433537006378174,2.9775965231237933e-05
0,800,2,0.0094544403254985,0.9582234621047974,4.861031993641518e-05
0,800,3,0.0246376097202301,0.6002927422523499,0.0001932002196554
