run,replicate,variant,step,tokens,train_loss,main_loss,stability_loss,validation_nll,validation_ppl,validation_token_accuracy,core_elapsed_seconds,core_seconds_per_million_tokens,grad_norm,learning_rate,alive_cells,edges
r0-T,0,T,100,102400,6.094844818115234,6.094844818115234,0.0,6.015621155500412,409.780297164925,0.08868408203125,1.5027061150000236,14.674864404297104,0.6877843737602234,0.0002979541955104,,
r0-T,0,T,250,256000,5.240170478820801,5.240170478820801,0.0,5.082611054182053,161.19439422392887,0.18035888671875,2.373451429999875,9.271294648437012,0.971305012702942,0.0002683710764094,,
r0-T,0,T,500,512000,4.845999717712402,4.845999717712402,0.0,4.557441830635071,95.33927359380633,0.20684814453125,4.055569684000659,7.921034539063787,1.0775855779647827,0.0001623869018208,,
r0-T,0,T,750,768000,4.592033863067627,4.592033863067627,0.0,4.423489093780518,83.3867224773014,0.21502685546875,5.533592860000397,7.20519903645885,1.1226797103881836,4.840776425613886e-05,,
r0-T,0,T,1000,1024000,4.556543350219727,4.556543350219727,0.0,4.402496725320816,81.6544831901652,0.21728515625,7.035299857000496,6.870410016602047,1.1524097919464111,0.0,,
r0-F,0,F,100,102400,6.262466430664063,6.258758544921875,0.0370798856019973,6.193845301866531,489.725633115453,0.084716796875,4.63559867999976,45.26951835937265,0.8003321886062622,0.0002979541955104,4.0,6.0
r0-F,0,F,250,256000,5.57511568069458,5.565097808837891,0.1001798212528228,5.43832802772522,230.05721243907533,0.12823486328125,10.446513345999904,40.80669275781212,2.701268434524536,0.0002683710764094,4.0,6.0
r0-F,0,F,500,512000,5.101037979125977,5.089147567749023,0.1189045757055282,4.851649522781372,127.9512744108114,0.18475341796875,19.977533732999973,39.01862057226557,1.8601667881011963,0.0001623869018208,4.0,6.0
r0-F,0,F,750,768000,4.813499927520752,4.800541877746582,0.1295787394046783,4.669210255146027,106.6135117042042,0.19464111328125,29.3963192909992,38.27645741015521,2.324526071548462,4.840776425613886e-05,4.0,6.0
r0-F,0,F,1000,1024000,4.792466640472412,4.779806137084961,0.1266031265258789,4.6410170793533325,103.64971397527016,0.19525146484375,38.470342009998376,37.56869336913904,1.8090938329696653,0.0,4.0,6.0
r0-G,0,G,100,102400,6.262466430664063,6.258758544921875,0.0370798856019973,6.193845301866531,489.725633115453,0.084716796875,4.410809209999911,43.07430869140538,0.8003321886062622,0.0002979541955104,4.0,6.0
r0-G,0,G,250,256000,5.57511568069458,5.565097808837891,0.1001798212528228,5.43832802772522,230.05721243907533,0.12823486328125,10.2709892270002,40.12105166796953,2.701268434524536,0.0002683710764094,4.0,6.0
r0-G,0,G,500,512000,5.095260143280029,5.084534645080566,0.1072539463639259,4.848230630159378,127.51456969140553,0.184814453125,20.554699253000194,40.14589697851601,2.037479877471924,0.0001623869018208,5.0,9.0
r0-G,0,G,750,768000,4.809670925140381,4.798768043518066,0.1090284436941146,4.666177123785019,106.29062883895968,0.1947021484375,30.265949266000064,39.40878810677091,2.246711492538452,4.840776425613886e-05,6.0,12.0
r0-G,0,G,1000,1024000,4.786650657653809,4.77667236328125,0.0997806712985038,4.638154059648514,103.35338719887304,0.19512939453125,40.22285850800063,39.28013526171936,1.813496828079224,0.0,7.0,14.0
r1-T,1,T,100,102400,6.031972885131836,6.031972885131836,0.0,6.016126066446304,409.9872519648498,0.09442138671875,1.515130426000269,14.796195566408876,0.8569225668907166,0.0002979541955104,,
r1-T,1,T,250,256000,5.18910551071167,5.18910551071167,0.0,5.033298552036285,153.43830310125668,0.1822509765625,2.416821450000157,9.440708789063113,0.960847020149231,0.0002683710764094,,
r1-T,1,T,500,512000,4.697147369384766,4.697147369384766,0.0,4.501508355140686,90.15301155534704,0.2154541015625,4.140728258999786,8.087359880858957,1.111656665802002,0.0001623869018208,,
r1-T,1,T,750,768000,4.591629981994629,4.591629981994629,0.0,4.368656754493713,78.9375279741133,0.22442626953125,5.642262548999781,7.346696027343465,1.2251471281051636,4.840776425613886e-05,,
r1-T,1,T,1000,1024000,4.559488296508789,4.559488296508789,0.0,4.34739488363266,77.27688519410408,0.226318359375,7.192363251999893,7.023792238281145,1.2328404188156128,0.0,,
r1-F,1,F,100,102400,6.215295791625977,6.211246490478516,0.0404907278716564,6.193013668060303,489.3185300269862,0.081787109375,4.585927331999585,44.78444660155844,1.0852715969085691,0.0002979541955104,4.0,6.0
r1-F,1,F,250,256000,5.515602111816406,5.507131576538086,0.0847042500972747,5.376509457826614,216.26607057027363,0.13995361328125,10.454561245999628,40.83812986718605,1.1839240789413452,0.0002683710764094,4.0,6.0
r1-F,1,F,500,512000,4.953737735748291,4.941285610198975,0.1245206221938133,4.789055824279785,120.18783663734035,0.18951416015625,19.86111639999933,38.7912429687487,3.3010406494140625,0.0001623869018208,4.0,6.0
r1-F,1,F,750,768000,4.823253631591797,4.810579299926758,0.1267438977956771,4.611210316419601,100.60584088020413,0.20245361328125,29.1342381489996,37.93520592317656,2.1982345581054688,4.840776425613886e-05,4.0,6.0
r1-F,1,F,1000,1024000,4.798051357269287,4.784900665283203,0.131508469581604,4.581353604793549,97.64647953399076,0.2061767578125,38.196165217999805,37.300942595702935,2.0117669105529785,0.0,4.0,6.0
r1-G,1,G,100,102400,6.215295791625977,6.211246490478516,0.0404907278716564,6.193013668060303,489.3185300269862,0.081787109375,4.330118659999755,42.286315039060106,1.0852715969085691,0.0002979541955104,4.0,6.0
r1-G,1,G,250,256000,5.515602111816406,5.507131576538086,0.0847042500972747,5.376509457826614,216.26607057027363,0.13995361328125,10.23200422599956,39.968766507810784,1.1839240789413452,0.0002683710764094,4.0,6.0
r1-G,1,G,500,512000,4.953737735748291,4.941285610198975,0.1245206221938133,4.80133843421936,121.67316010537934,0.18853759765625,20.37669785999981,39.79823800781213,3.3010406494140625,0.0001623869018208,4.0,7.0
r1-G,1,G,750,768000,4.821338176727295,4.809772491455078,0.1156586930155754,4.611020982265472,100.58679456153683,0.20281982421875,30.02348892500009,39.09308453776054,2.158255815505981,4.840776425613886e-05,5.0,9.0
r1-G,1,G,1000,1024000,4.796289443969727,4.78524112701416,0.1104813739657402,4.582965970039368,97.80404831904816,0.20758056640625,39.88918323099983,38.95428049902328,2.019193172454834,0.0,7.0,14.0
r2-T,2,T,100,102400,6.051488876342773,6.051488876342773,0.0,6.038080096244812,419.08765404645646,0.08673095703125,0.95064911199961,9.28368273437119,0.7703357338905334,0.0002979541955104,,
r2-T,2,T,250,256000,5.040502548217773,5.040502548217773,0.0,5.100716233253479,164.1394273250601,0.176025390625,1.7537701779994563,6.850664757810376,0.8753154277801514,0.0002683710764094,,
r2-T,2,T,500,512000,4.671786785125732,4.671786785125732,0.0,4.572370499372482,96.77323899251893,0.20306396484375,3.1034780089995597,6.061480486327264,1.0600595474243164,0.0001623869018208,,
r2-T,2,T,750,768000,4.503739356994629,4.503739356994629,0.0,4.440333753824234,84.80324035694503,0.21600341796875,4.506391034999012,5.867696660154964,1.2180904150009155,4.840776425613886e-05,,
r2-T,2,T,1000,1024000,4.467757225036621,4.467757225036621,0.0,4.420754462480545,83.15900204363734,0.21636962890625,5.867914009999311,5.730384775389951,1.210484266281128,0.0,,
r2-F,2,F,100,102400,6.23569917678833,6.232110977172852,0.0358817838132381,6.211165577173233,498.2816987168189,0.0640869140625,4.314856986999871,42.13727526367061,0.8470024466514587,0.0002979541955104,4.0,6.0
r2-F,2,F,250,256000,5.475025177001953,5.466573715209961,0.0845165252685546,5.509465157985687,247.01897560421088,0.11334228515625,9.725287503000402,37.98940430859532,4.154608249664307,0.0002683710764094,4.0,6.0
r2-F,2,F,500,512000,4.961728096008301,4.949851036071777,0.1187684312462806,4.874809086322784,130.94915084033212,0.18426513671875,18.74653394299997,36.61432410742182,2.1787397861480717,0.0001623869018208,4.0,6.0
r2-F,2,F,750,768000,4.721240997314453,4.708388328552246,0.1285272538661956,4.681448251008987,107.92626376246568,0.194580078125,27.84847988200028,36.26104151302119,2.660275220870972,4.840776425613886e-05,4.0,6.0
r2-F,2,F,1000,1024000,4.7146525382995605,4.701682090759277,0.1297031641006469,4.651071101427078,104.69706671883672,0.1953125,36.92646269500068,36.0609987255866,1.762745380401611,0.0,4.0,6.0
