replicate,intervention,normal_nll,altered_nll,delta_nll
0,learned_edges_off,4.638154059648514,4.6459731459617615,0.0078190863132476
0,initial_organism,4.638154059648514,4.648961037397385,0.0108069777488708
1,learned_edges_off,4.582965970039368,4.607937514781952,0.0249715447425842
1,initial_organism,4.582965970039368,4.60692635178566,0.0239603817462921
2,learned_edges_off,4.652176767587662,4.679646044969559,0.0274692773818969
2,initial_organism,4.652176767587662,4.677196264266968,0.025019496679306
