run,replicate,variant,parameters,final_nll,final_ppl,final_token_accuracy,core_seconds_per_million_tokens,wall_seconds_per_million_tokens,peak_vram_gib,phase1_alive_cells,phase1_edges,language_structural_events,local_skill_improvement,transplant_recovery,donor_language_ratio,selected_cell_count
r0-T,0,T,395136,4.402496725320816,81.6544831901652,0.21728515625,6.8704100166020465,7.440949781249984,0.053802490234375,,,0,,,,
r0-F,0,F,395712,4.6410170793533325,103.64971397527017,0.19525146484375,37.56869336913904,39.272108214843726,0.2334761619567871,4.0,6.0,0,,,,
r0-G,0,G,395712,4.638154059648514,103.35338719887304,0.19512939453125,39.28013526171936,42.57603284667966,0.5945115089416504,7.0,14.0,5,3.5431127548217773,0.6360152155450312,1.575281131204093,6.0
r1-T,1,T,395136,4.34739488363266,77.27688519410408,0.226318359375,7.023792238281145,7.567201288085911,0.053802490234375,,,0,,,,
r1-F,1,F,395712,4.581353604793549,97.64647953399077,0.2061767578125,37.300942595702935,38.98360863183598,0.2334761619567871,4.0,6.0,0,,,,
r1-G,1,G,395712,4.582965970039368,97.80404831904815,0.20758056640625,38.95428049902328,42.15872682519534,0.5158462524414062,7.0,14.0,5,3.7376005308968683,0.7456086734368887,1.6080039435859892,5.0
r2-T,2,T,395136,4.420754462480545,83.15900204363734,0.21636962890625,5.730384775389951,6.2089779179687605,0.053802490234375,,,0,,,,
r2-F,2,F,395712,4.651071101427078,104.69706671883672,0.1953125,36.0609987255866,37.64660281445309,0.2334761619567871,4.0,6.0,0,,,,
r2-G,2,G,395712,4.652176767587662,104.81289074217213,0.195556640625,36.74632365820296,39.75523060253905,0.5158462524414062,7.0,14.0,5,3.640309538160051,0.6927729403775754,1.401561515732341,4.0
