run,replicate,variant,parameters,seconds_per_million_tokens,peak_vram_gib,avg_recurrent_iterations,mean_nll,mean_token_accuracy,mean_exact_match,effective_active_fraction,final_activity_entropy,final_connectome_entropy,final_nonlocal_mass,mean_diffusion_to_reaction,connectome_change_l1,activity_mi,activity_mi_null_p99,connectome_mi,connectome_mi_null_p99,functional_specific_rows
r0-B,0,B,903168,59.63308119166697,0.9333643913269043,8.99,1.049059429168701,0.5814999999999999,0.031,,,,,,,,,,,
r0-D,0,D,902016,72.75868026145864,1.0293593406677246,8.99,1.134844460078648,0.5368333333333333,0.006999999999999999,0.921349048614502,0.9285398125648499,0.8251271843910217,0.4407455623149872,0.7740961064894994,0.001891914289444685,0.0063776522559174514,0.00026212409692168457,0.00023055151752102786,1.704519698550374e-05,3.0
r1-B,1,B,903168,59.37773950312521,0.9337611198425293,8.971,1.0552041518688202,0.5704999999999999,0.032999999999999995,,,,,,,,,,,
r1-D,1,D,902016,73.46356411770886,1.0298476219177246,8.971,1.1534514092036656,0.5438333333333333,0.012,0.9171923995018005,0.9388524889945984,0.8045905828475952,0.41163355112075806,0.782156765460968,0.0024454533122479916,0.019784892383162323,0.0005061484062614227,0.00012646167829299888,1.8553701676301203e-05,4.0
r2-B,2,B,903168,59.545929167707534,0.9335169792175293,9.008,0.7560516664300645,0.7294999999999999,0.16999999999999998,,,,,,,,,,,
r2-D,2,D,902016,72.93651662083326,1.0296034812927246,9.008,1.077763229915074,0.5646666666666667,0.018,0.9685661792755127,0.9288057088851929,0.8156259655952454,0.426957905292511,0.7941814412673315,0.0021434053778648376,0.001936715891422999,8.13993600532745e-05,0.0001966188063741948,1.4063478148153015e-05,4.0
