run,task,receiver,source,mean_weight
r0-D,ROTATE,6,7,0.0740248784422874
r0-D,ROTATE,7,0,0.0380772650241851
r0-D,ROTATE,7,1,0.0221478939056396
r0-D,ROTATE,7,2,0.0237434934824705
r0-D,ROTATE,7,3,0.0224823206663131
r0-D,ROTATE,7,4,0.0217387843877077
r0-D,ROTATE,7,5,0.024351580068469
r0-D,ROTATE,7,6,0.0974586680531501
r0-D,ROTATE,7,7,0.0
r0-D,INC,0,0,0.0
r0-D,INC,0,1,0.1006128117442131
r0-D,INC,0,2,0.0220820158720016
r0-D,INC,0,3,0.0244972370564937
r0-D,INC,0,4,0.0271325595676898
r0-D,INC,0,5,0.0245988890528678
r0-D,INC,0,6,0.0222591087222099
r0-D,INC,0,7,0.028817381709814
r0-D,INC,1,0,0.092329628765583
r0-D,INC,1,1,0.0
r0-D,INC,1,2,0.0691558867692947
r0-D,INC,1,3,0.0170557852834463
r0-D,INC,1,4,0.0192533154040575
r0-D,INC,1,5,0.0178284272551536
r0-D,INC,1,6,0.016613969579339
r0-D,INC,1,7,0.017763003706932
r0-D,INC,2,0,0.0207052417099475
r0-D,INC,2,1,0.0705624893307685
r0-D,INC,2,2,0.0
r0-D,INC,2,3,0.081076830625534
r0-D,INC,2,4,0.0179622154682874
r0-D,INC,2,5,0.018374353647232
r0-D,INC,2,6,0.0222088694572448
r0-D,INC,2,7,0.019109996035695
r0-D,INC,3,0,0.0221063382923603
r0-D,INC,3,1,0.0167167969048023
r0-D,INC,3,2,0.0778611153364181
r0-D,INC,3,3,0.0
r0-D,INC,3,4,0.0776728093624115
r0-D,INC,3,5,0.019809104502201
r0-D,INC,3,6,0.017786806449294
r0-D,INC,3,7,0.0180470161139965
r0-D,INC,4,0,0.024028044193983
r0-D,INC,4,1,0.0185722317546606
r0-D,INC,4,2,0.0169955547899007
r0-D,INC,4,3,0.0765000358223915
r0-D,INC,4,4,0.0
r0-D,INC,4,5,0.0763580203056335
r0-D,INC,4,6,0.0204918645322322
r0-D,INC,4,7,0.0170542150735855
r0-D,INC,5,0,0.0219734981656074
r0-D,INC,5,1,0.0173453912138938
r0-D,INC,5,2,0.0175244323909282
r0-D,INC,5,3,0.0196749158203601
r0-D,INC,5,4,0.0769782960414886
r0-D,INC,5,5,0.0
r0-D,INC,5,6,0.0773306638002395
r0-D,INC,5,7,0.0191727895289659
r0-D,INC,6,0,0.0201612375676631
r0-D,INC,6,1,0.0163600742816925
r0-D,INC,6,2,0.0214241407811641
r0-D,INC,6,3,0.0178596787154674
r0-D,INC,6,4,0.0209235716611146
r0-D,INC,6,5,0.0782489106059074
r0-D,INC,6,6,0.0
r0-D,INC,6,7,0.0750223845243454
r0-D,INC,7,0,0.0339201502501964
r0-D,INC,7,1,0.0227994564920663
r0-D,INC,7,2,0.024043533951044
r0-D,INC,7,3,0.0235985927283763
r0-D,INC,7,4,0.0226461552083492
r0-D,INC,7,5,0.0252818204462528
r0-D,INC,7,6,0.0977103412151336
r0-D,INC,7,7,0.0
r0-D,SWAP,0,0,0.0
r0-D,SWAP,0,1,0.0918479561805725
r0-D,SWAP,0,2,0.0251933354884386
r0-D,SWAP,0,3,0.0240226984024047
r0-D,SWAP,0,4,0.0259559154510498
r0-D,SWAP,0,5,0.0250563845038414
r0-D,SWAP,0,6,0.0260909851640462
r0-D,SWAP,0,7,0.0318327508866786
r0-D,SWAP,1,0,0.0894131958484649
r0-D,SWAP,1,1,0.0
r0-D,SWAP,1,2,0.0706126689910888
r0-D,SWAP,1,3,0.017166381701827
r0-D,SWAP,1,4,0.0200435351580381
r0-D,SWAP,1,5,0.0179403163492679
r0-D,SWAP,1,6,0.0167928785085678
r0-D,SWAP,1,7,0.0180310010910034
r0-D,SWAP,2,0,0.0242350623011589
r0-D,SWAP,2,1,0.0697175040841102
r0-D,SWAP,2,2,0.0
r0-D,SWAP,2,3,0.0783680230379104
r0-D,SWAP,2,4,0.0177008174359798
r0-D,SWAP,2,5,0.0182419419288635
r0-D,SWAP,2,6,0.0226568579673767
r0-D,SWAP,2,7,0.0190797988325357
r0-D,SWAP,3,0,0.0228963941335678
r0-D,SWAP,3,1,0.0167285893112421
r0-D,SWAP,3,2,0.0773206278681755
r0-D,SWAP,3,3,0.0
r0-D,SWAP,3,4,0.0774748399853706
r0-D,SWAP,3,5,0.0197701584547758
r0-D,SWAP,3,6,0.0179092418402433
r0-D,SWAP,3,7,0.0179001241922378
r0-D,SWAP,4,0,0.0240767076611518
r0-D,SWAP,4,1,0.0190127287060022
r0-D,SWAP,4,2,0.0170303080230951
r0-D,SWAP,4,3,0.075517900288105
r0-D,SWAP,4,4,0.0
r0-D,SWAP,4,5,0.0762020945549011
r0-D,SWAP,4,6,0.0213194321841001
r0-D,SWAP,4,7,0.0168408509343862
r0-D,SWAP,5,0,0.0231503937393426
r0-D,SWAP,5,1,0.0169611852616071
r0-D,SWAP,5,2,0.0174658484756946
r0-D,SWAP,5,3,0.0191862937062978
r0-D,SWAP,5,4,0.0758522450923919
r0-D,SWAP,5,5,0.0
