run,task,row,mean_activity
r1-D,REVERSE_ROTATE,7,0.4418264031410217
r1-D,REVERSE_INC,0,0.1985172480344772
r1-D,REVERSE_INC,1,0.4379349946975708
r1-D,REVERSE_INC,2,0.3080169856548309
r1-D,REVERSE_INC,3,0.375164270401001
r1-D,REVERSE_INC,4,0.3776473999023437
r1-D,REVERSE_INC,5,0.3468445837497711
r1-D,REVERSE_INC,6,0.3571529686450958
r1-D,REVERSE_INC,7,0.5987217426300049
r1-D,REVERSE_SWAP,0,0.5558123588562012
r1-D,REVERSE_SWAP,1,0.4941978752613067
r1-D,REVERSE_SWAP,2,0.2819827795028686
r1-D,REVERSE_SWAP,3,0.3221599161624908
r1-D,REVERSE_SWAP,4,0.3245019614696502
r1-D,REVERSE_SWAP,5,0.2649779915809631
r1-D,REVERSE_SWAP,6,0.3083230555057525
r1-D,REVERSE_SWAP,7,0.4480439722537994
r1-D,ROTATE_INC,0,0.1832242161035537
r1-D,ROTATE_INC,1,0.4416540861129761
r1-D,ROTATE_INC,2,0.3144453167915344
r1-D,ROTATE_INC,3,0.3819296956062317
r1-D,ROTATE_INC,4,0.3685927987098694
r1-D,ROTATE_INC,5,0.3520173132419586
r1-D,ROTATE_INC,6,0.361732929944992
r1-D,ROTATE_INC,7,0.5964038372039795
r1-D,ROTATE_SWAP,0,0.5654391050338745
r1-D,ROTATE_SWAP,1,0.4972799718379974
r1-D,ROTATE_SWAP,2,0.2796364724636078
r1-D,ROTATE_SWAP,3,0.321523368358612
r1-D,ROTATE_SWAP,4,0.3252449929714203
r1-D,ROTATE_SWAP,5,0.265379786491394
r1-D,ROTATE_SWAP,6,0.307250052690506
r1-D,ROTATE_SWAP,7,0.4382461905479431
r1-D,INC_SWAP,0,0.1802753657102584
r1-D,INC_SWAP,1,0.448624700307846
r1-D,INC_SWAP,2,0.3128688037395477
r1-D,INC_SWAP,3,0.3825595080852508
r1-D,INC_SWAP,4,0.369507223367691
r1-D,INC_SWAP,5,0.3470289707183838
r1-D,INC_SWAP,6,0.3595832884311676
r1-D,INC_SWAP,7,0.5995522141456604
r2-D,REVERSE,0,0.3811448812484741
r2-D,REVERSE,1,0.310179591178894
r2-D,REVERSE,2,0.3582069277763366
r2-D,REVERSE,3,0.3601364195346832
r2-D,REVERSE,4,0.3792822957038879
r2-D,REVERSE,5,0.3426701724529266
r2-D,REVERSE,6,0.3580275475978851
r2-D,REVERSE,7,0.5103524923324585
r2-D,ROTATE,0,0.3757134675979614
r2-D,ROTATE,1,0.3130728602409363
r2-D,ROTATE,2,0.3625329732894897
r2-D,ROTATE,3,0.362206369638443
r2-D,ROTATE,4,0.3811689615249634
r2-D,ROTATE,5,0.3416185081005096
r2-D,ROTATE,6,0.3596434295177459
r2-D,ROTATE,7,0.504043698310852
r2-D,INC,0,0.2687553167343139
r2-D,INC,1,0.3228885531425476
r2-D,INC,2,0.3956791758537292
r2-D,INC,3,0.3697546720504761
r2-D,INC,4,0.3878416717052459
r2-D,INC,5,0.3635791838169098
r2-D,INC,6,0.3451088964939117
r2-D,INC,7,0.5463926196098328
r2-D,SWAP,0,0.3622503578662872
r2-D,SWAP,1,0.3133774101734161
r2-D,SWAP,2,0.3630945682525635
r2-D,SWAP,3,0.365309864282608
r2-D,SWAP,4,0.3843696117401123
r2-D,SWAP,5,0.3465178310871124
r2-D,SWAP,6,0.3599128723144531
r2-D,SWAP,7,0.5051673650741577
r2-D,REVERSE_ROTATE,0,0.3788063526153564
r2-D,REVERSE_ROTATE,1,0.3066281378269195
r2-D,REVERSE_ROTATE,2,0.3601847887039184
r2-D,REVERSE_ROTATE,3,0.3608549237251282
r2-D,REVERSE_ROTATE,4,0.3808820247650146
r2-D,REVERSE_ROTATE,5,0.3412393927574157
r2-D,REVERSE_ROTATE,6,0.3567935526371002
