replicate,metric,D_over_B
0,mean_nll,1.0817732804498266
0,seconds_per_million_tokens,1.220106001694003
0,parameters,0.9987244897959183
0,depth_robustness_2_over_4,0.9996852078984393
1,mean_nll,1.0931073453045503
1,seconds_per_million_tokens,1.2372239955992643
1,parameters,0.9987244897959183
1,depth_robustness_2_over_4,0.9953129547860577
2,mean_nll,1.4255153156451221
2,seconds_per_million_tokens,1.2248783021827057
2,parameters,0.9987244897959183
2,depth_robustness_2_over_4,0.9535661305051394
