run,evolution_step,reaction_rms,diffusion_rms,diffusion_to_reaction,state_residual,activity_entropy,connectome_entropy,nonlocal_mass,activity_r0,activity_r1,activity_r2,activity_r3,activity_r4,activity_r5,activity_r6,activity_r7
r0-D,1,0.0440863631665706,0.0195885561406612,0.4443223476409912,0.2800735235214233,0.9152792096138,0.8275081515312195,0.4385095238685608,1.1061574220657349,0.2621849477291107,0.2607060968875885,0.2504922747611999,0.2503461837768554,0.250000536441803,0.2603246867656708,0.359788030385971
r0-D,2,0.02080749720335,0.016970282420516,0.8155850172042847,0.127897098660469,0.9073879718780518,0.8273001909255981,0.4383888244628906,1.234000563621521,0.2272301316261291,0.2232485115528106,0.2127184271812439,0.234491690993309,0.2185872495174408,0.2646279633045196,0.3850957155227661
r0-D,3,0.013666545972228,0.0153923695906996,1.1262809038162231,0.0974991545081138,0.9417840838432312,0.826791524887085,0.4378626346588135,1.016933798789978,0.226049467921257,0.2204377949237823,0.2537431418895721,0.4330113530158996,0.2584446668624878,0.2918585538864136,0.2995214760303497
r0-D,4,0.0122944433242082,0.0139682674780488,1.136144757270813,0.0953995212912559,0.9382309317588806,0.8259850740432739,0.4370415806770324,0.8087859153747559,0.2060745507478714,0.1895202249288559,0.3059921264648437,0.6379779577255249,0.294835478067398,0.2835065126419067,0.2733074128627777
r0-D,5,0.0189109742641448,0.0126985814422369,0.6714926958084106,0.1368622928857803,0.9235231280326844,0.8256334662437439,0.4367005825042724,1.102373480796814,0.2075235098600387,0.1914498507976532,0.2667942941188812,0.4728551805019378,0.2459709197282791,0.2745321094989776,0.2385007739067077
r0-D,6,0.0180982071906328,0.0116909090429544,0.6459705829620361,0.1305045932531356,0.8877860903739929,0.82535719871521,0.4365628063678741,1.3468470573425293,0.1991141140460968,0.187864750623703,0.2249236553907394,0.3621470332145691,0.2116106003522873,0.2650262415409088,0.2024665772914886
r0-D,7,0.0128320595249533,0.0110421217978,0.8605104684829712,0.0904574543237686,0.8987168669700623,0.824906587600708,0.4362955093383789,1.1257914304733276,0.2795561850070953,0.2350614368915558,0.1833452135324478,0.3239216804504394,0.2412607669830322,0.3378603756427765,0.2732028067111969
r0-D,8,0.0115845184773206,0.0102905957028269,0.8883058428764343,0.0865065231919288,0.9226502180099488,0.8243736624717712,0.4360746145248413,0.8602913618087769,0.3501539230346679,0.2806911766529083,0.139885663986206,0.2865320444107055,0.2683153450489044,0.4730728566646576,0.3410578668117523
r0-D,9,0.014829883351922,0.0095221502706408,0.6420920491218567,0.1079327836632728,0.8967399001121521,0.8246972560882568,0.4371068477630615,1.1340129375457764,0.3004912436008453,0.2513327300548553,0.1467335522174835,0.2568589150905609,0.2440019845962524,0.3807004988193512,0.285868376493454
r0-D,10,0.0135174058377742,0.0089659569784998,0.6632897853851318,0.0924854427576065,0.8721487522125244,0.825102686882019,0.4384593367576599,1.3074640035629272,0.2674726247787475,0.2269270122051239,0.1661607772111892,0.2279792875051498,0.2244015336036682,0.3151626884937286,0.2644322216510772
r0-D,11,0.0126145035028457,0.008563382551074,0.6788521409034729,0.081936739385128,0.9102423191070556,0.8252029418945312,0.4396588802337646,0.915502905845642,0.2520354688167572,0.3056046366691589,0.2289640456438064,0.3059076070785522,0.2376280575990677,0.4840337634086609,0.2703236937522888
r0-D,12,0.0114595107734203,0.0082085244357585,0.7163066864013672,0.0767289623618125,0.92853981256485,0.8251271843910217,0.4407455623149872,0.505854606628418,0.3573706150054931,0.3519902527332306,0.278792530298233,0.3290900290012359,0.2833470404148102,0.5415717959403992,0.3519832193851471
r1-D,1,0.0304456911981105,0.0194762740284204,0.6397054195404053,0.2031062841415405,0.9155768752098083,0.8283998370170593,0.4398220777511596,1.1003979444503784,0.2370413839817047,0.2506361603736877,0.2710134387016296,0.2567587792873382,0.2629832923412323,0.2594631314277649,0.3617059886455536
r1-D,2,0.0209418479353189,0.0171138774603605,0.8172095417976379,0.1359189599752426,0.8896195292472839,0.828437328338623,0.4401942789554596,1.241491675376892,0.1721000075340271,0.2076446861028671,0.2703330218791961,0.2361741364002227,0.2506738305091858,0.235965684056282,0.385617047548294
r1-D,3,0.0134955700486898,0.015596873126924,1.1557031869888306,0.0906419605016708,0.9064957499504088,0.8275267481803894,0.4392076730728149,1.1795194149017334,0.1647381037473678,0.1676330119371414,0.2882912456989288,0.2664758861064911,0.3577651381492615,0.2391895651817321,0.3363878130912781
