run,evolution_step,reaction_rms,diffusion_rms,diffusion_to_reaction,state_residual,activity_entropy,connectome_entropy,nonlocal_mass,activity_r0,activity_r1,activity_r2,activity_r3,activity_r4,activity_r5,activity_r6,activity_r7
r1-D,4,0.0127081144601106,0.0143150994554162,1.1264533996582031,0.0893406644463539,0.9203010201454164,0.826436460018158,0.4380853474140167,0.9195188283920288,0.1693262308835983,0.1650408655405044,0.3610530495643616,0.3706341683864593,0.5154763460159302,0.2380914837121963,0.2608592212200165
r1-D,5,0.0172146651893854,0.0131343640387058,0.76297527551651,0.1266180127859115,0.904985785484314,0.824577271938324,0.4356959760189056,1.1940698623657229,0.171752855181694,0.1639124155044555,0.3028171360492706,0.2930607497692108,0.4046970903873443,0.2289470881223678,0.2407428473234176
r1-D,6,0.016009060665965,0.0120194144546985,0.7507882118225098,0.1167731657624244,0.8677358627319336,0.8229354023933411,0.4338580667972564,1.4106827974319458,0.1659022569656372,0.1555814146995544,0.2482840269804,0.2356569319963455,0.335059106349945,0.2109457701444625,0.23788782954216
r1-D,7,0.0130364000797271,0.0112272715196013,0.8612248301506042,0.0903190895915031,0.899699866771698,0.8206286430358887,0.431063711643219,1.1967107057571411,0.2361046820878982,0.2225660681724548,0.2633623480796814,0.2381041198968887,0.3942540287971496,0.2785824239253998,0.1703156232833862
r1-D,8,0.0127975223585963,0.0103934239596128,0.8121434450149536,0.0929453000426292,0.9346336126327516,0.8178771138191223,0.4276022613048553,0.8756493926048279,0.3541493415832519,0.3356099426746368,0.3118082284927368,0.2481222301721573,0.4015982449054718,0.3437653481960296,0.1292974203824997
r1-D,9,0.0182967763394117,0.0095502426847815,0.5219631195068359,0.1289729475975036,0.9338453412055968,0.8154299855232239,0.4246979057788849,0.9929240345954896,0.2923390567302704,0.3111169934272766,0.3225580751895904,0.2219234853982925,0.346790611743927,0.316529780626297,0.1958179771900177
r1-D,10,0.0163071993738412,0.0088996058329939,0.5457470417022705,0.1119824796915054,0.923724353313446,0.8122285604476929,0.420740395784378,0.9970945715904236,0.307150661945343,0.2725028097629547,0.3346191048622131,0.2126976996660232,0.2945755124092102,0.2959329783916473,0.285426914691925
r1-D,11,0.013033365830779,0.0083969887346029,0.6442686319351196,0.0896598324179649,0.9311679601669312,0.8085615634918213,0.4163020551204681,0.7343076467514038,0.4294306635856628,0.2567963898181915,0.3406097888946533,0.2706145644187927,0.2748773097991943,0.3043672740459442,0.3889964520931244
r1-D,12,0.0106045799329876,0.0079290345311164,0.7476990818977356,0.0762936472892761,0.9388524889945984,0.8045905828475952,0.411633551120758,0.4149126410484314,0.4746429026126861,0.2922792136669159,0.3435702323913574,0.3435453176498413,0.2980912029743194,0.3270775973796844,0.5058810710906982
r2-D,1,0.0265617314726114,0.0195323713123798,0.7353575825691223,0.1721673905849456,0.9115273952484132,0.8289852142333984,0.4406704902648926,1.1064848899841309,0.2412526309490203,0.2728893756866455,0.2534042000770569,0.2658902406692505,0.2587083876132965,0.2486782819032669,0.3526922464370727
r2-D,2,0.0229238793253898,0.0173780024051666,0.7580742239952087,0.1460576057434082,0.8647082448005676,0.8301047086715698,0.4426310360431671,1.3353015184402466,0.2068019807338714,0.2446395456790924,0.2113362401723861,0.2437959611415863,0.227079838514328,0.2046151161193847,0.326429933309555
r2-D,3,0.0141296442598104,0.015951732173562,1.1289550065994265,0.0890459939837455,0.9122154116630554,0.8299214839935303,0.4426884949207306,1.1065545082092283,0.293506771326065,0.202616810798645,0.2471889555454254,0.2979286909103393,0.2596326470375061,0.2677352726459503,0.3248364329338074
r2-D,4,0.0135189080610871,0.0146613484248518,1.084506869316101,0.0886518284678459,0.9341256618499756,0.8289258480072021,0.4415876567363739,0.8714460730552673,0.4023182690143585,0.2024657130241394,0.2551804482936859,0.3907229602336883,0.3302065134048462,0.2973315119743347,0.2503288388252258
r2-D,5,0.0177589543163776,0.0134667204692959,0.7583059072494507,0.1314403265714645,0.9073479771614076,0.82803875207901,0.440407931804657,1.139484167098999,0.3042720258235931,0.1883333772420883,0.243389680981636,0.3390631675720215,0.2900181114673614,0.2648254036903381,0.2306143939495086
r2-D,6,0.0170499719679355,0.0123461652547121,0.7241164445877075,0.1201100125908851,0.8610708713531494,0.8271815776824951,0.4395107626914978,1.369841456413269,0.2424354404211044,0.1743252128362655,0.2269021719694137,0.2922961115837097,0.2457160651683807,0.2225408256053924,0.2259427905082702
r2-D,7,0.0130797699093818,0.0115878218784928,0.8859347105026245,0.0861221328377723,0.8965640664100647,0.8259839415550232,0.4382059276103973,1.0868209600448608,0.2660015821456909,0.2771876156330108,0.3321591317653656,0.2788878679275512,0.2308056950569152,0.2706717550754547,0.257465660572052
r2-D,8,0.0121122691780328,0.0107859876006841,0.8905009627342224,0.0849644392728805,0.9226105213165284,0.8243691325187683,0.4363724589347839,0.7553654909133911,0.3034233152866363,0.4077802002429962,0.4655244052410126,0.2378834336996078,0.2188082635402679,0.3388407528400421,0.2723742127418518
r2-D,9,0.0178948286920785,0.0099994670599699,0.5587908625602722,0.1292791962623596,0.914090096950531,0.8225318789482117,0.4342721998691559,1.005380392074585,0.2954280376434326,0.3419134020805359,0.3400038778781891,0.2492693066596985,0.2239327430725097,0.2732112109661102,0.2708611488342285
r2-D,10,0.0162684582173824,0.0093228686600923,0.5730640292167664,0.1137398034334182,0.8889962434768677,0.8204604983329773,0.4320965111255646,1.1346558332443235,0.2775392830371856,0.3242737054824829,0.2930856943130493,0.2578113377094269,0.2070724815130233,0.2162582576274871,0.2893033921718597
r2-D,11,0.0127547103911638,0.0088807139545679,0.6962693333625793,0.0872910842299461,0.9339682459831238,0.8181476593017578,0.429677665233612,0.5817674398422241,0.3255468010902405,0.4087337851524353,0.3367510139942169,0.343011200428009,0.2894146740436554,0.3097500503063202,0.4050251245498657
r2-D,12,0.0113741178065538,0.0083747785538434,0.7363013625144958,0.0814361423254013,0.9288057088851928,0.8156259655952454,0.426957905292511,0.3305856585502624,0.314710408449173,0.374565988779068,0.366402268409729,0.3853875994682312,0.3528711199760437,0.3548505306243896,0.5206266045570374
