run,intervention,mean_delta_nll,bootstrap_95_lower,bootstrap_95_upper,positive_fraction
r0-D,diffusion_off,0.5481979655623436,0.5296108587265015,0.5657580714195967,0.992
r0-D,plasticity_off,0.0007819924950599,0.0003349616289138,0.0012261001035571,0.533
r0-D,connectome_shuffled,0.383585730433464,0.3713308473110199,0.3966465098604559,0.978
r1-D,diffusion_off,0.4578833809494972,0.4441754998356104,0.4715681767597794,0.986
r1-D,plasticity_off,0.0022491114735603,0.0014259051531553,0.0030775144040584,0.601
r1-D,connectome_shuffled,0.5149789591431617,0.5005738224983215,0.5285942490175366,0.992
r2-D,diffusion_off,0.4248856204748154,0.4118469039320946,0.43787368452847,0.987
r2-D,plasticity_off,0.0008606060147285,0.0001790188714861,0.0015054431810975,0.54
r2-D,connectome_shuffled,0.2164004146456718,0.209353536401689,0.2236269419804215,0.976
