generation,accepted,old_token_accuracy,train_answer_accuracy,heldout_answer_accuracy,addition_answer_accuracy,subtraction_answer_accuracy,accept_rate
0,False,1.0,0.0,0.0,0.0,0.0,
100,False,1.0,0.0,0.0,0.0,0.0,0.08
200,False,1.0,0.0,0.0,0.0,0.0,0.09
300,False,1.0,0.0,0.0,0.0,0.0,0.08666666666666667
400,True,1.0,0.0,0.0,0.0,0.0,0.2175
500,True,1.0,0.0,0.0,0.0,0.0,0.298
600,False,1.0,0.0,0.0,0.0,0.0,0.31333333333333335
700,True,0.9997759856630825,0.0,0.0,0.0,0.0,0.3242857142857143
800,True,0.9991039426523297,0.0,0.0,0.0,0.0,0.35375
900,True,0.9979838709677419,0.0,0.0,0.0,0.0,0.3844444444444444
1000,False,0.9982078853046595,0.0,0.0,0.0,0.0,0.404
1100,False,0.9973118279569892,0.0,0.0,0.0,0.0,0.4163636363636364
1200,True,0.9975358422939068,0.0,0.0,0.0,0.0,0.4091666666666667
1300,False,0.9966397849462365,0.0,0.0,0.0,0.0,0.40384615384615385
1400,False,0.9952956989247311,0.0,0.0,0.0,0.0,0.4064285714285714
1500,True,0.9961917562724014,0.0,0.0,0.0,0.0,0.4093333333333333
1600,True,0.9973118279569892,0.0,0.0,0.0,0.0,0.421875
