generation,loss,old_token_accuracy,train_answer_accuracy,heldout_answer_accuracy
100,10.582314491271973,0.9690860215053764,0.09090909090909091,0.13636363636363635
200,9.002933502197266,0.9861111111111112,0.1590909090909091,0.09090909090909091
300,8.341842651367188,0.9863351254480287,0.1590909090909091,0.09090909090909091
400,8.848583221435547,0.9847670250896058,0.18181818181818182,0.045454545454545456
500,8.677030563354492,0.9870071684587813,0.17045454545454544,0.13636363636363635
600,8.753026962280273,0.9908154121863799,0.19318181818181818,0.045454545454545456
700,8.168196678161621,0.985663082437276,0.3068181818181818,0.045454545454545456
800,7.772121429443359,0.9917114695340502,0.26136363636363635,0.045454545454545456
900,7.028989315032959,0.9896953405017921,0.2727272727272727,0.0
1000,7.503086090087891,0.9881272401433692,0.26136363636363635,0.045454545454545456
1100,7.968679904937744,0.9874551971326165,0.23863636363636365,0.09090909090909091
1200,7.52739143371582,0.9905913978494624,0.2727272727272727,0.045454545454545456
1300,8.233362197875977,0.9932795698924731,0.32954545454545453,0.045454545454545456
1400,8.08215618133545,0.994399641577061,0.3068181818181818,0.09090909090909091
1500,7.653379917144775,0.989247311827957,0.3181818181818182,0.045454545454545456
1600,7.093537330627441,0.9937275985663082,0.3181818181818182,0.045454545454545456
1700,6.685791492462158,0.9950716845878136,0.3522727272727273,0.09090909090909091
1800,6.591580390930176,0.9890232974910395,0.3522727272727273,0.045454545454545456
