generation,accepted,old_token_accuracy,train_answer_accuracy,heldout_answer_accuracy,addition_answer_accuracy,subtraction_answer_accuracy,accept_rate
0,False,1.0,0.0,0.0,0.0,0.0,
100,False,1.0,0.0,0.0,0.0,0.0,0.04
200,False,1.0,0.0,0.0,0.0,0.0,0.055
300,False,1.0,0.0,0.0,0.0,0.0,0.056666666666666664
400,False,1.0,0.0,0.0,0.0,0.0,0.06
500,False,1.0,0.0,0.0,0.0,0.0,0.058
600,False,1.0,0.0,0.0,0.0,0.0,0.058333333333333334
700,False,1.0,0.0,0.0,0.0,0.0,0.05857142857142857
800,False,1.0,0.0,0.0,0.0,0.0,0.05625
900,False,1.0,0.0,0.0,0.0,0.0,0.056666666666666664
1000,False,1.0,0.0,0.0,0.0,0.0,0.057
1100,False,1.0,0.0,0.0,0.0,0.0,0.057272727272727274
1200,False,1.0,0.0,0.0,0.0,0.0,0.056666666666666664
1300,False,1.0,0.0,0.0,0.0,0.0,0.05615384615384615
1400,False,1.0,0.0,0.0,0.0,0.0,0.08642857142857142
1500,False,1.0,0.0,0.0,0.0,0.0,0.13266666666666665
1600,True,1.0,0.0,0.0,0.0,0.0,0.17125
